,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
beta_b[1],0.024040526,0.000234783,0.019514898,0.003694524,0.014236696,0.02112067,0.029576966,0.059299502,6908.748573,1.000186214
beta_b[2],0.075413736,0.00025301,0.023037905,0.041624741,0.059405436,0.071567507,0.08702238,0.131103074,8291.098945,1.00061091
beta_b[3],0.371777434,0.002929301,0.246321803,0.03706667,0.17466587,0.31451038,0.531279214,0.92342265,7070.951206,1.000285272
beta_b[4],0.046515618,7.18E-05,0.008131596,0.031493232,0.041002186,0.046186552,0.051628607,0.06347022,12827.93805,1.000230014
beta_b[5],0.013612238,0.000444946,0.02795278,0.000528216,0.005048908,0.009871125,0.015885375,0.041686901,3946.712875,1.000480946
beta_b[6],0.001569422,1.78E-05,0.00192749,4.69E-05,0.000494612,0.001134327,0.00215177,0.005216154,11755.28689,0.999952511
beta_b[7],0.08110465,0.000210584,0.02087378,0.042551197,0.066331598,0.080518948,0.095041312,0.123226513,9825.44954,1.000664341
beta_b[8],0.205344765,0.000543445,0.043307662,0.133488309,0.173343186,0.201093544,0.233632338,0.299288665,6350.649505,1.000365821
beta_b[9],0.027973492,7.09E-05,0.008118211,0.012984324,0.022540664,0.027661264,0.033029949,0.044462003,13109.70541,1.000047751
beta_b[10],0.131055921,0.000217532,0.021734176,0.091543636,0.115872276,0.129867334,0.145093211,0.176867918,9982.561756,1.000107467
beta_b[11],0.085136466,0.000590492,0.036502459,0.04400966,0.064256473,0.078403792,0.096498147,0.165747133,3821.338234,1.001319046
beta_b[12],0.059180738,0.00010261,0.010182078,0.042172694,0.052357553,0.058213699,0.064832935,0.081965626,9846.839255,1.000490289
beta_b[13],0.206851273,0.000363834,0.034846431,0.143384561,0.182453487,0.204958304,0.229289639,0.279918595,9172.986256,1.000148361
beta_b[14],0.10444244,0.000153909,0.016076359,0.075303081,0.093471775,0.103683212,0.114801277,0.138866227,10910.59373,0.999999685
beta_b[15],0.236941915,0.000424335,0.04173037,0.160991446,0.208155324,0.235194272,0.263340833,0.323470194,9671.357032,1.000093255
beta_b[16],0.080220103,0.000163088,0.014712919,0.054553376,0.069986546,0.079248785,0.089377089,0.110665031,8138.713907,0.999956425
beta_b[17],0.047670383,9.07E-05,0.009231472,0.031584302,0.041188841,0.047042891,0.053348583,0.067664095,10361.25717,1.000199392
beta_b[18],0.014013116,0.000203979,0.015590118,0.000796752,0.006203298,0.011596358,0.018388464,0.040269364,5841.568198,1.000567619
beta_b[19],0.106283459,0.000156558,0.015836731,0.077201712,0.095324537,0.105660651,0.116492764,0.139015581,10232.44489,1.000123424
beta_b[20],0.084241099,0.000400727,0.024723592,0.060146537,0.073479698,0.081103642,0.09006416,0.121793622,3806.497909,1.001119976
beta_b[21],0.160202944,0.000326389,0.032003478,0.10169135,0.137783109,0.158723817,0.18086444,0.226989525,9614.412446,1.000253389
beta_b[22],0.021123615,0.000273957,0.019526187,0.002772128,0.012227199,0.01869459,0.026478516,0.048885338,5080.064347,1.000757613
beta_b[23],0.180029678,0.000887303,0.069463344,0.083418464,0.125793442,0.168192951,0.221760891,0.339680711,6128.68773,1.000535431
beta_b[24],0.055375491,6.86E-05,0.008377257,0.039370228,0.04968037,0.055169774,0.060901119,0.072185493,14920.7682,0.999918759
beta_b[25],0.067973175,0.000236892,0.018370663,0.036527185,0.054513515,0.066823316,0.080052624,0.106282718,6013.794484,1.000134206
beta_b[26],0.082736404,0.000140568,0.013981205,0.057352849,0.073170687,0.082019714,0.091403352,0.112432168,9892.784106,1.000056424
beta_b[27],0.100002165,0.00014554,0.015542629,0.070240438,0.089535186,0.099670981,0.110443264,0.13098419,11404.7663,0.9999113
beta_b[28],0.090921188,0.00089561,0.032560148,0.058257853,0.075906223,0.086682256,0.099080347,0.14648639,1321.705572,1.002797924
beta_b[29],0.063320638,0.000929971,0.060564595,0.017997318,0.035027357,0.048839611,0.070308195,0.197170074,4241.297548,1.000731895
beta_b[1],0.298027775,0.000495787,0.050975883,0.206476134,0.262034171,0.295640668,0.330972242,0.404747148,10571.5724,1.000457905
beta_b[2],0.064236568,8.53E-05,0.01088602,0.044021002,0.05669918,0.063794915,0.071446656,0.086570643,16286.30174,1.000108667
beta_b[3],0.107326419,0.000179784,0.017475263,0.075668233,0.094950632,0.106542153,0.118582619,0.143935114,9448.083654,1.000224818
beta_b[4],0.115036789,0.000179761,0.018142843,0.081789978,0.102520889,0.114192757,0.126544169,0.15340596,10186.36834,1.000070736
beta_b[5],0.009316363,7.63E-05,0.006673305,0.000636405,0.005252088,0.008808543,0.012574332,0.020458518,7647.843513,1.000889157
