arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.703529599821195,14.703529599821195,space,2.376421900000423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
45,42,50,53,0,0,0,0,,,,,17.105911399936303,17.105911399936303,22.106111499946564,None,23.113602299941704,23.113602299941704,23.113602299941704,23.113602299941704,23.113602299941704,23.113602299941704,f,0.5526579001452774,23.701258899876848,23.701258899876848,23.701258899876848,23.701258899876848,23.701258899876848,23.701258899876848,23.989945099921897,24.839520399924368,24.860865299822763,24.860865299822763,24.860865299822763,24.860865299822763,24.860865299822763,24.860865299822763,24.860865299822763,24.860865299822763,24.860865299822763,24.860865299822763,24.860865299822763,24.860865299822763,24.860865299822763,26.052798699820414,26.052798699820414,26.052798699820414,26.052798699820414,26.052798699820414,26.052798699820414,26.052798699820414,50,53,45,42,50,60,26.052798699820414,27.93920629983768,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
32,43,50,58,0,1,1,1,,,,,,,,None,27.93920629983768,27.93920629983768,27.93920629983768,27.93920629983768,27.93920629983768,27.93920629983768,j,0.5252078999765217,28.488678899826482,28.488678899826482,28.488678899826482,28.488678899826482,28.488678899826482,28.488678899826482,28.772757899947464,30.554934199899435,30.572092399932444,30.572092399932444,30.572092399932444,30.572092399932444,30.572092399932444,30.572092399932444,30.572092399932444,30.572092399932444,30.572092399932444,30.572092399932444,30.572092399932444,30.572092399932444,30.572092399932444,32.65569599997252,32.65569599997252,32.65569599997252,32.65569599997252,32.65569599997252,32.65569599997252,32.65569599997252,50,58,32,43,43,60,32.65569599997252,34.48845129995607,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
43,50,57,55,0,2,2,2,,,,,,,,None,34.48845129995607,34.48845129995607,34.48845129995607,34.48845129995607,34.48845129995607,34.48845129995607,r,0.4565998998004943,34.977812099969015,34.977812099969015,34.977812099969015,34.977812099969015,34.977812099969015,34.977812099969015,35.27057129982859,37.13604649994522,37.13604649994522,37.13604649994522,37.13604649994522,37.13604649994522,37.13604649994522,37.13604649994522,37.13604649994522,37.13604649994522,37.13604649994522,37.13604649994522,37.13604649994522,37.13604649994522,37.13604649994522,39.303659699857235,39.303659699857235,39.303659699857235,39.303659699857235,39.303659699857235,39.303659699857235,39.303659699857235,57,55,43,50,55,60,39.303659699857235,41.236909199971706,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
42,44,52,56,0,3,3,3,,,,,,,,None,41.236909199971706,41.236909199971706,41.236909199971706,41.236909199971706,41.236909199971706,41.236909199971706,i,0.46351959998719394,41.72407549992204,41.72407549992204,41.72407549992204,41.72407549992204,41.72407549992204,41.72407549992204,42.0036145998165,43.6702449999284,43.68939769989811,43.68939769989811,43.68939769989811,43.68939769989811,43.68939769989811,43.68939769989811,43.68939769989811,43.68939769989811,43.68939769989811,43.68939769989811,43.68939769989811,43.68939769989811,43.68939769989811,45.65304789994843,45.65304789994843,45.65304789994843,45.65304789994843,45.65304789994843,45.65304789994843,45.65304789994843,52,56,42,44,42,60,45.65304789994843,47.18464689981192,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
49,38,49,67,0,4,4,4,,,,,,,,None,47.18464689981192,47.18464689981192,47.18464689981192,47.18464689981192,47.18464689981192,47.18464689981192,f,0.4034336998593062,47.623535899911076,47.623535899911076,47.623535899911076,47.623535899911076,47.623535899911076,47.623535899911076,47.90268059982918,49.369065899867564,49.389124899869785,49.389124899869785,49.389124899869785,49.389124899869785,49.389124899869785,49.389124899869785,49.389124899869785,49.389124899869785,49.389124899869785,49.389124899869785,49.389124899869785,49.389124899869785,49.389124899869785,51.151725800009444,51.151725800009444,51.151725800009444,51.151725800009444,51.151725800009444,51.151725800009444,51.151725800009444,49,67,49,38,49,60,51.151725800009444,53.10134319984354,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
44,40,59,51,0,5,5,5,,,,,,,,None,53.10134319984354,53.10134319984354,53.10134319984354,53.10134319984354,53.10134319984354,53.10134319984354,i,0.4466108998749405,53.58194909989834,53.58194909989834,53.58194909989834,53.58194909989834,53.58194909989834,53.58194909989834,53.86789849982597,54.73486869991757,54.75276850000955,54.75276850000955,54.75276850000955,54.75276850000955,54.75276850000955,54.75276850000955,54.75276850000955,54.75276850000955,54.75276850000955,54.75276850000955,54.75276850000955,54.75276850000955,54.75276850000955,55.91731789987534,55.91731789987534,55.91731789987534,55.91731789987534,55.91731789987534,55.91731789987534,55.91731789987534,59,51,44,40,44,60,55.91731789987534,57.50082580000162,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
53,40,54,56,0,6,6,6,,,,,,,,None,57.50082580000162,57.50082580000162,57.50082580000162,57.50082580000162,57.50082580000162,57.50082580000162,r,0.4007836999371648,57.948535499861464,57.948535499861464,57.948535499861464,57.948535499861464,57.948535499861464,57.948535499861464,58.217279399978,59.334876499837264,59.369939299998805,59.369939299998805,59.369939299998805,59.369939299998805,59.369939299998805,59.369939299998805,59.369939299998805,59.369939299998805,59.369939299998805,59.369939299998805,59.369939299998805,59.369939299998805,59.369939299998805,60.78379469993524,60.78379469993524,60.78379469993524,60.78379469993524,60.78379469993524,60.78379469993524,60.78379469993524,54,56,53,40,56,60,60.78379469993524,62.56654479983263,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
58,40,47,59,0,7,7,7,,,,,,,,None,62.56654479983263,62.56654479983263,62.56654479983263,62.56654479983263,62.56654479983263,62.56654479983263,r,0.4465874000452459,63.04070549993776,63.04070549993776,63.04070549993776,63.04070549993776,63.04070549993776,63.04070549993776,63.33372319978662,64.19951809989288,64.21522509981878,64.21522509981878,64.21522509981878,64.21522509981878,64.21522509981878,64.21522509981878,64.21522509981878,64.21522509981878,64.21522509981878,64.21522509981878,64.21522509981878,64.21522509981878,64.21522509981878,65.38324519991875,65.38324519991875,65.38324519991875,65.38324519991875,65.38324519991875,65.38324519991875,65.38324519991875,47,59,58,40,59,60,65.38324519991875,67.13202239992097,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
58,37,56,51,0,8,8,8,,,,,,,,None,67.13202239992097,67.13202239992097,67.13202239992097,67.13202239992097,67.13202239992097,67.13202239992097,r,0.39341529994271696,67.55292339995503,67.55292339995503,67.55292339995503,67.55292339995503,67.55292339995503,67.55292339995503,67.83146839984693,69.76448309980333,69.80228209984489,69.80228209984489,69.80228209984489,69.80228209984489,69.80228209984489,69.80228209984489,69.80228209984489,69.80228209984489,69.80228209984489,69.80228209984489,69.80228209984489,69.80228209984489,69.80228209984489,72.04859239980578,72.04859239980578,72.04859239980578,72.04859239980578,72.04859239980578,72.04859239980578,72.04859239980578,56,51,58,37,51,60,72.04859239980578,73.86416050000116,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
