arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,27.192303000018,27.192303000018,space,2.112712500151247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
45,42,50,53,0,0,0,0,,,,,29.326624599983916,29.326624599983916,34.326058899983764,34.326058899983764,34.326058899983764,35.328577699838206,None,35.328577699838206,35.328577699838206,35.328577699838206,35.328577699838206,35.328577699838206,35.328577699838206,r,0.4570311000570655,35.811133599840105,35.811133599840105,35.811133599840105,35.811133599840105,35.811133599840105,35.811133599840105,36.09445500001311,37.51014199992642,37.52804759982973,37.52804759982973,37.52804759982973,37.52804759982973,37.52804759982973,37.52804759982973,37.52804759982973,37.52804759982973,37.52804759982973,37.52804759982973,37.52804759982973,37.52804759982973,37.52804759982973,39.289650100050494,39.289650100050494,39.289650100050494,39.289650100050494,39.289650100050494,39.289650100050494,39.289650100050494,45,53,42,50,53,70,39.289650100050494,40.9264044999145,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
32,43,50,58,0,1,1,1,,,,,,,,,,,None,40.9264044999145,40.9264044999145,40.9264044999145,40.9264044999145,40.9264044999145,40.9264044999145,r,0.3942227999214083,41.343609099974856,41.343609099974856,41.343609099974856,41.343609099974856,41.343609099974856,41.343609099974856,41.626462099840865,43.24285999988206,43.259183699963614,43.259183699963614,43.259183699963614,43.259183699963614,43.259183699963614,43.259183699963614,43.259183699963614,43.259183699963614,43.259183699963614,43.259183699963614,43.259183699963614,43.259183699963614,43.259183699963614,45.17408180003986,45.17408180003986,45.17408180003986,45.17408180003986,45.17408180003986,45.17408180003986,45.17408180003986,32,58,43,50,58,70,45.17408180003986,46.95838760002516,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
43,50,57,55,0,2,2,2,,,,,,,,,,,None,46.95838760002516,46.95838760002516,46.95838760002516,46.95838760002516,46.95838760002516,46.95838760002516,r,0.288535000057891,47.275766500039026,47.275766500039026,47.275766500039026,47.275766500039026,47.275766500039026,47.275766500039026,47.55883660004474,49.54193349997513,49.55858960002661,49.55858960002661,49.55858960002661,49.55858960002661,49.55858960002661,49.55858960002661,49.55858960002661,49.55858960002661,49.55858960002661,49.55858960002661,49.55858960002661,49.55858960002661,49.55858960002661,51.83975259982981,51.83975259982981,51.83975259982981,51.83975259982981,51.83975259982981,51.83975259982981,51.83975259982981,43,55,50,57,55,70,51.83975259982981,53.707258000038564,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
42,44,52,56,0,3,3,3,,,,,,,,,,,None,53.707258000038564,53.707258000038564,53.707258000038564,53.707258000038564,53.707258000038564,53.707258000038564,r,0.5368765001185238,54.27455669990741,54.27455669990741,54.27455669990741,54.27455669990741,54.27455669990741,54.27455669990741,54.557709199842066,56.37379690003581,56.390362199861556,56.390362199861556,56.390362199861556,56.390362199861556,56.390362199861556,56.390362199861556,56.390362199861556,56.390362199861556,56.390362199861556,56.390362199861556,56.390362199861556,56.390362199861556,56.390362199861556,58.50508080003783,58.50508080003783,58.50508080003783,58.50508080003783,58.50508080003783,58.50508080003783,58.50508080003783,42,56,44,52,56,70,58.50508080003783,60.33956669992767,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
49,38,49,67,0,4,4,4,,,,,,,,,,,None,60.33956669992767,60.33956669992767,60.33956669992767,60.33956669992767,60.33956669992767,60.33956669992767,r,0.7363466999959201,61.10839019995183,61.10839019995183,61.10839019995183,61.10839019995183,61.10839019995183,61.10839019995183,61.3898813999258,62.37311379984021,62.4059715999756,62.4059715999756,62.4059715999756,62.4059715999756,62.4059715999756,62.4059715999756,62.4059715999756,62.4059715999756,62.4059715999756,62.4059715999756,62.4059715999756,62.4059715999756,62.4059715999756,63.687850599875674,63.687850599875674,63.687850599875674,63.687850599875674,63.687850599875674,63.687850599875674,63.687850599875674,49,67,38,49,67,70,63.687850599875674,65.48852250003256,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
44,40,59,51,0,5,5,5,,,,,,,,,,,None,65.48852250003256,65.48852250003256,65.48852250003256,65.48852250003256,65.48852250003256,65.48852250003256,f,0.5325911999680102,66.04022039985284,66.04022039985284,66.04022039985284,66.04022039985284,66.04022039985284,66.04022039985284,66.3228545000311,67.38875869987532,67.4216777998954,67.4216777998954,67.4216777998954,67.4216777998954,67.4216777998954,67.4216777998954,67.4216777998954,67.4216777998954,67.4216777998954,67.4216777998954,67.4216777998954,67.4216777998954,67.4216777998954,68.78691080003045,68.78691080003045,68.78691080003045,68.78691080003045,68.78691080003045,68.78691080003045,68.78691080003045,44,51,40,59,44,70,68.78691080003045,70.43784809997305,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
53,40,54,56,0,6,6,6,,,,,,,,,,,None,70.43784809997305,70.43784809997305,70.43784809997305,70.43784809997305,70.43784809997305,70.43784809997305,f,0.4236246000509709,70.88829829986207,70.88829829986207,70.88829829986207,70.88829829986207,70.88829829986207,70.88829829986207,71.17149730003439,72.13793569989502,72.15427029994316,72.15427029994316,72.15427029994316,72.15427029994316,72.15427029994316,72.15427029994316,72.15427029994316,72.15427029994316,72.15427029994316,72.15427029994316,72.15427029994316,72.15427029994316,72.15427029994316,73.419251000043,73.419251000043,73.419251000043,73.419251000043,73.419251000043,73.419251000043,73.419251000043,53,56,40,54,53,70,73.419251000043,75.15367259993218,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
58,40,47,59,0,7,7,7,,,,,,,,,,,None,75.15367259993218,75.15367259993218,75.15367259993218,75.15367259993218,75.15367259993218,75.15367259993218,f,0.2883317999076098,75.47091619996354,75.47091619996354,75.47091619996354,75.47091619996354,75.47091619996354,75.47091619996354,75.77031919988804,76.65349199995399,76.65349199995399,76.65349199995399,76.65349199995399,76.65349199995399,76.65349199995399,76.65349199995399,76.65349199995399,76.65349199995399,76.65349199995399,76.65349199995399,76.65349199995399,76.65349199995399,76.65349199995399,77.83590810000896,77.83590810000896,77.83590810000896,77.83590810000896,77.83590810000896,77.83590810000896,77.83590810000896,58,59,40,47,58,70,77.83590810000896,79.58642589999363,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
58,37,56,51,0,8,8,8,,,,,,,,,,,None,79.58642589999363,79.58642589999363,79.58642589999363,79.58642589999363,79.58642589999363,79.58642589999363,f,0.307526099961251,79.9200603000354,79.9200603000354,79.9200603000354,79.9200603000354,79.9200603000354,79.9200603000354,80.2029029999394,81.6861809999682,81.7029870999977,81.7029870999977,81.7029870999977,81.7029870999977,81.7029870999977,81.7029870999977,81.7029870999977,81.7029870999977,81.7029870999977,81.7029870999977,81.7029870999977,81.7029870999977,81.7029870999977,83.48421929986216,83.48421929986216,83.48421929986216,83.48421929986216,83.48421929986216,83.48421929986216,83.48421929986216,58,51,37,56,58,70,83.48421929986216,85.26875009993091,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
