arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.558392299804837,19.558392299804837,space,17.747210199944675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
26,37,67,72,0,0,0,0,,,,,37.33277009986341,37.33277009986341,42.332371999975294,42.332371999975294,42.332371999975294,43.33400259981863,None,43.33400259981863,43.33400259981863,43.33400259981863,43.33400259981863,43.33400259981863,43.33400259981863,r,0.4310494000092149,43.791491699870676,43.791491699870676,43.791491699870676,43.791491699870676,43.791491699870676,43.791491699870676,44.08398150000721,45.53415509988554,45.53415509988554,45.53415509988554,45.53415509988554,45.53415509988554,45.53415509988554,45.53415509988554,45.53415509988554,45.53415509988554,45.53415509988554,45.53415509988554,45.53415509988554,45.53415509988554,45.53415509988554,47.33680589986034,47.33680589986034,47.33680589986034,47.33680589986034,47.33680589986034,47.33680589986034,47.33680589986034,72,67,37,26,67,60,47.33680589986034,48.999277599854395,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
22,55,69,70,0,1,1,1,,,,,,,,,,,None,48.999277599854395,48.999277599854395,48.999277599854395,48.999277599854395,48.999277599854395,48.999277599854395,f,0.22989990003407001,49.250933799892664,49.250933799892664,49.250933799892664,49.250933799892664,49.250933799892664,49.250933799892664,49.55050419992767,51.16548049985431,51.16548049985431,51.16548049985431,51.16548049985431,51.16548049985431,51.16548049985431,51.16548049985431,51.16548049985431,51.16548049985431,51.16548049985431,51.16548049985431,51.16548049985431,51.16548049985431,51.16548049985431,53.08059509983286,53.08059509983286,53.08059509983286,53.08059509983286,53.08059509983286,53.08059509983286,53.08059509983286,70,69,55,22,70,60,53.08059509983286,54.76497329981066,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
17,53,69,69,0,2,2,2,,,,,,,,,,,None,54.76497329981066,54.76497329981066,54.76497329981066,54.76497329981066,54.76497329981066,54.76497329981066,i,0.26347440015524626,55.0506530997809,55.0506530997809,55.0506530997809,55.0506530997809,55.0506530997809,55.0506530997809,55.34864749992266,56.765484399860725,56.765484399860725,56.765484399860725,56.765484399860725,56.765484399860725,56.765484399860725,56.765484399860725,56.765484399860725,56.765484399860725,56.765484399860725,56.765484399860725,56.765484399860725,56.765484399860725,56.765484399860725,58.47958429995924,58.47958429995924,58.47958429995924,58.47958429995924,58.47958429995924,58.47958429995924,58.47958429995924,69,69,53,17,53,60,58.47958429995924,60.19758699997328,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
32,37,76,72,0,3,3,3,,,,,,,,,,,None,60.19758699997328,60.19758699997328,60.19758699997328,60.19758699997328,60.19758699997328,60.19758699997328,j,0.3017895999364555,60.53109069983475,60.53109069983475,60.53109069983475,60.53109069983475,60.53109069983475,60.53109069983475,60.830906099872664,62.41380289988592,62.41380289988592,62.41380289988592,62.41380289988592,62.41380289988592,62.41380289988592,62.41380289988592,62.41380289988592,62.41380289988592,62.41380289988592,62.41380289988592,62.41380289988592,62.41380289988592,62.41380289988592,64.29532719985582,64.29532719985582,64.29532719985582,64.29532719985582,64.29532719985582,64.29532719985582,64.29532719985582,72,76,37,32,32,60,64.29532719985582,65.98014159989543,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
30,50,65,65,0,4,4,4,,,,,,,,,,,None,65.98014159989543,65.98014159989543,65.98014159989543,65.98014159989543,65.98014159989543,65.98014159989543,f,0.2622234998270869,66.26632449985482,66.26632449985482,66.26632449985482,66.26632449985482,66.26632449985482,66.26632449985482,66.56335199996829,67.8959489997942,67.8959489997942,67.8959489997942,67.8959489997942,67.8959489997942,67.8959489997942,67.87994049978442,67.8959489997942,67.8959489997942,67.8959489997942,67.8959489997942,67.8959489997942,67.8959489997942,67.8959489997942,69.51091599999927,69.51091599999927,69.51091599999927,69.51091599999927,69.51091599999927,69.51091599999927,69.51091599999927,65,65,50,30,65,60,69.51091599999927,71.32873359997757,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
26,49,62,61,0,5,5,5,,,,,,,,,,,None,71.32873359997757,71.32873359997757,71.32873359997757,71.32873359997757,71.32873359997757,71.32873359997757,f,0.5304873001296073,71.88050219998695,71.88050219998695,71.88050219998695,71.88050219998695,71.88050219998695,71.88050219998695,72.17899059993215,73.41173569997773,73.41173569997773,73.41173569997773,73.41173569997773,73.41173569997773,73.41173569997773,73.41173569997773,73.41173569997773,73.41173569997773,73.41173569997773,73.41173569997773,73.41173569997773,73.41173569997773,73.41173569997773,74.9434162999969,74.9434162999969,74.9434162999969,74.9434162999969,74.9434162999969,74.9434162999969,74.9434162999969,61,62,49,26,61,60,74.9434162999969,76.49431839981116,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
18,44,62,52,0,6,6,6,,,,,,,,,,,None,76.49431839981116,76.49431839981116,76.49431839981116,76.49431839981116,76.49431839981116,76.49431839981116,f,0.35903469985350966,76.8784655998461,76.8784655998461,76.8784655998461,76.8784655998461,76.8784655998461,76.8784655998461,77.17832700000145,79.12772709992714,79.12772709992714,79.12772709992714,79.12772709992714,79.12772709992714,79.12772709992714,79.12772709992714,79.12772709992714,79.12772709992714,79.12772709992714,79.12772709992714,79.12772709992714,79.12772709992714,79.12772709992714,81.37626139982603,81.37626139982603,81.37626139982603,81.37626139982603,81.37626139982603,81.37626139982603,81.37626139982603,52,62,44,18,52,60,81.37626139982603,82.96000379999168,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
23,57,71,63,0,7,7,7,,,,,,,,,,,None,82.96000379999168,82.96000379999168,82.96000379999168,82.96000379999168,82.96000379999168,82.96000379999168,r,0.2923022999893874,83.27842250000685,83.27842250000685,83.27842250000685,83.27842250000685,83.27842250000685,83.27842250000685,83.57701609982178,85.3266002999153,85.3266002999153,85.3266002999153,85.3266002999153,85.3266002999153,85.3266002999153,85.3266002999153,85.3266002999153,85.3266002999153,85.3266002999153,85.3266002999153,85.3266002999153,85.3266002999153,85.3266002999153,87.37465889984742,87.37465889984742,87.37465889984742,87.37465889984742,87.37465889984742,87.37465889984742,87.37465889984742,63,71,57,23,71,60,87.37465889984742,89.34266329999082,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
26,61,78,62,0,8,8,8,,,,,,,,,,,None,89.34266329999082,89.34266329999082,89.34266329999082,89.34266329999082,89.34266329999082,89.34266329999082,r,0.34927679994143546,89.70933849993162,89.70933849993162,89.70933849993162,89.70933849993162,89.70933849993162,89.70933849993162,89.9926616998855,91.05886889994144,91.05886889994144,91.05886889994144,91.05886889994144,91.05886889994144,91.05886889994144,91.0425057997927,91.05886889994144,91.05886889994144,91.05886889994144,91.05886889994144,91.05886889994144,91.05886889994144,91.05886889994144,92.40668139979243,92.40668139979243,92.40668139979243,92.40668139979243,92.40668139979243,92.40668139979243,92.40668139979243,62,78,61,26,78,60,92.40668139979243,94.04119359981269,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
