arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,35.28870570007712,35.28870570007712,space,4.711976599879563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
42,42,58,55,0,0,0,0,,,,,40.0144983001519,40.0144983001519,45.01408009999432,45.01408009999432,45.01408009999432,46.0155760999769,None,46.0155760999769,46.0155760999769,46.0155760999769,46.0155760999769,46.0155760999769,46.0155760999769,r,0.3800259998533875,46.4215902001597,46.4215902001597,46.4215902001597,46.4215902001597,46.4215902001597,46.4215902001597,46.715522000100464,48.032920700032264,48.032920700032264,48.032920700032264,48.032920700032264,48.032920700032264,48.032920700032264,48.032920700032264,48.032920700032264,48.032920700032264,48.032920700032264,48.032920700032264,48.032920700032264,48.032920700032264,48.032920700032264,49.695603100117296,49.695603100117296,49.695603100117296,49.695603100117296,49.695603100117296,49.695603100117296,49.695603100117296,42,42,55,58,42,70,49.695603100117296,51.48069680016488,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
36,47,52,54,0,1,1,1,,,,,,,,,,,None,51.48069680016488,51.48069680016488,51.48069680016488,51.48069680016488,51.48069680016488,51.48069680016488,f,0.42740099993534386,51.93114860006608,51.93114860006608,51.93114860006608,51.93114860006608,51.93114860006608,51.93114860006608,52.21455450006761,53.64711769996211,53.64711769996211,53.64711769996211,53.64711769996211,53.64711769996211,53.64711769996211,53.63104990008287,53.64711769996211,53.64711769996211,53.64711769996211,53.64711769996211,53.64711769996211,53.64711769996211,53.64711769996211,55.361946400022134,55.361946400022134,55.361946400022134,55.361946400022134,55.361946400022134,55.361946400022134,55.361946400022134,36,47,54,52,36,70,55.361946400022134,57.04651410016231,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
45,50,58,55,0,2,2,2,,,,,,,,,,,None,57.04651410016231,57.04651410016231,57.04651410016231,57.04651410016231,57.04651410016231,57.04651410016231,i,0.37275530002079904,57.449946200009435,57.449946200009435,57.449946200009435,57.449946200009435,57.449946200009435,57.449946200009435,57.72989140008576,59.412787000183016,59.412787000183016,59.412787000183016,59.412787000183016,59.412787000183016,59.412787000183016,59.379764300072566,59.412787000183016,59.412787000183016,59.412787000183016,59.412787000183016,59.412787000183016,59.412787000183016,59.412787000183016,61.360863300040364,61.360863300040364,61.360863300040364,61.360863300040364,61.360863300040364,61.360863300040364,61.360863300040364,45,50,55,58,55,70,61.360863300040364,63.21183679997921,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
41,53,62,59,0,3,3,3,,,,,,,,,,,None,63.21183679997921,63.21183679997921,63.21183679997921,63.21183679997921,63.21183679997921,63.21183679997921,j,0.4502877998165786,63.69548080000095,63.69548080000095,63.69548080000095,63.69548080000095,63.69548080000095,63.69548080000095,63.97924689995125,65.66159810009412,65.66159810009412,65.66159810009412,65.66159810009412,65.66159810009412,65.66159810009412,65.64525509998202,65.66159810009412,65.66159810009412,65.66159810009412,65.66159810009412,65.66159810009412,65.66159810009412,65.66159810009412,67.6264595000539,67.6264595000539,67.6264595000539,67.6264595000539,67.6264595000539,67.6264595000539,67.6264595000539,41,53,59,62,62,70,67.6264595000539,69.26070570014417,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
44,54,59,55,0,4,4,4,,,,,,,,,,,None,69.26070570014417,69.26070570014417,69.26070570014417,69.26070570014417,69.26070570014417,69.26070570014417,j,0.2963511999696493,69.57793340017088,69.57793340017088,69.57793340017088,69.57793340017088,69.57793340017088,69.57793340017088,69.87792460015044,71.5103778000921,71.5103778000921,71.5103778000921,71.5103778000921,71.5103778000921,71.5103778000921,71.5103778000921,71.5103778000921,71.5103778000921,71.5103778000921,71.5103778000921,71.5103778000921,71.5103778000921,71.5103778000921,73.44231429998763,73.44231429998763,73.44231429998763,73.44231429998763,73.44231429998763,73.44231429998763,73.44231429998763,44,54,55,59,59,70,73.44231429998763,75.00975660001859,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
38,50,63,53,0,5,5,5,,,,,,,,,,,None,75.00975660001859,75.00975660001859,75.00975660001859,75.00975660001859,75.00975660001859,75.00975660001859,i,0.44514790014363825,75.47745060012676,75.47745060012676,75.47745060012676,75.47745060012676,75.47745060012676,75.47745060012676,75.76049880008213,77.27672470011748,77.27672470011748,77.27672470011748,77.27672470011748,77.27672470011748,77.27672470011748,77.26027560001239,77.27672470011748,77.27672470011748,77.27672470011748,77.27672470011748,77.27672470011748,77.27672470011748,77.27672470011748,79.07452620007098,79.07452620007098,79.07452620007098,79.07452620007098,79.07452620007098,79.07452620007098,79.07452620007098,38,50,53,63,53,70,79.07452620007098,80.69243280007504,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
43,58,67,58,0,6,6,6,,,,,,,,,,,None,80.69243280007504,80.69243280007504,80.69243280007504,80.69243280007504,80.69243280007504,80.69243280007504,f,0.3035650998353958,81.02589100017212,81.02589100017212,81.02589100017212,81.02589100017212,81.02589100017212,81.02589100017212,81.3261023000814,83.15863410010934,83.15863410010934,83.15863410010934,83.15863410010934,83.15863410010934,83.15863410010934,83.15863410010934,83.15863410010934,83.15863410010934,83.15863410010934,83.15863410010934,83.15863410010934,83.15863410010934,83.15863410010934,85.29052709997632,85.29052709997632,85.29052709997632,85.29052709997632,85.29052709997632,85.29052709997632,85.29052709997632,43,58,58,67,43,70,85.29052709997632,87.0415233001113,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
44,47,63,53,0,7,7,7,,,,,,,,,,,None,87.0415233001113,87.0415233001113,87.0415233001113,87.0415233001113,87.0415233001113,87.0415233001113,r,0.35311320004984736,87.42595149995759,87.42595149995759,87.42595149995759,87.42595149995759,87.42595149995759,87.42595149995759,87.70852370001376,89.25763680017553,89.25763680017553,89.25763680017553,89.25763680017553,89.25763680017553,89.25763680017553,89.24102750001475,89.25763680017553,89.25763680017553,89.25763680017553,89.25763680017553,89.25763680017553,89.25763680017553,89.25763680017553,91.08929080003873,91.08929080003873,91.08929080003873,91.08929080003873,91.08929080003873,91.08929080003873,91.08929080003873,44,47,53,63,47,70,91.08929080003873,92.74060480017215,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
43,50,68,48,0,8,8,8,,,,,,,,,,,None,92.74060480017215,92.74060480017215,92.74060480017215,92.74060480017215,92.74060480017215,92.74060480017215,j,0.30767840007320046,93.07599789998494,93.07599789998494,93.07599789998494,93.07599789998494,93.07599789998494,93.07599789998494,93.37394970003515,94.95657110004686,94.95657110004686,94.95657110004686,94.95657110004686,94.95657110004686,94.95657110004686,94.95657110004686,94.95657110004686,94.95657110004686,94.95657110004686,94.95657110004686,94.95657110004686,94.95657110004686,94.95657110004686,96.83833830012009,96.83833830012009,96.83833830012009,96.83833830012009,96.83833830012009,96.83833830012009,96.83833830012009,43,50,48,68,68,70,96.83833830012009,98.60562380007468,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
