arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.63556160009466,20.63556160009466,space,3.2358323999214917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３１１,f,２２,2023-05-18_09h05.56.648,RL,2022.2.5,60.052990771053224,
30,31,46,67,0,0,0,0,,,,,23.90992909995839,23.90992909995839,28.91461140010506,None,29.916085599921644,29.916085599921644,29.916085599921644,29.916085599921644,29.916085599921644,29.916085599921644,j,0.9704454999882728,30.923570099985227,30.923570099985227,30.923570099985227,30.923570099985227,30.923570099985227,30.923570099985227,31.224786600098014,32.35375989996828,32.35375989996828,32.35375989996828,32.35375989996828,32.35375989996828,32.35375989996828,32.35375989996828,32.35375989996828,32.35375989996828,32.35375989996828,32.35375989996828,32.35375989996828,32.35375989996828,32.35375989996828,33.83778119995259,33.83778119995259,33.83778119995259,33.83778119995259,33.83778119995259,33.83778119995259,33.83778119995259,67,30,31,46,46,60,33.83778119995259,35.64796099998057,,,,,,,,,,,,,,３１１,f,２２,2023-05-18_09h05.56.648,RL,2022.2.5,60.052990771053224,
28,34,50,68,0,1,1,1,,,,,,,,None,35.64796099998057,35.64796099998057,35.64796099998057,35.64796099998057,35.64796099998057,35.64796099998057,r,0.8759298999793828,36.54858969990164,36.54858969990164,36.54858969990164,36.54858969990164,36.54858969990164,36.54858969990164,36.8498182001058,37.983546799980104,37.983546799980104,37.983546799980104,37.983546799980104,37.983546799980104,37.983546799980104,37.983546799980104,37.983546799980104,37.983546799980104,37.983546799980104,37.983546799980104,37.983546799980104,37.983546799980104,37.983546799980104,39.418327499879524,39.418327499879524,39.418327499879524,39.418327499879524,39.418327499879524,39.418327499879524,39.418327499879524,68,28,34,50,28,60,39.418327499879524,41.047152400016785,,,,,,,,,,,,,,３１１,f,２２,2023-05-18_09h05.56.648,RL,2022.2.5,60.052990771053224,
25,34,44,71,0,2,2,2,,,,,,,,None,41.047152400016785,41.047152400016785,41.047152400016785,41.047152400016785,41.047152400016785,41.047152400016785,i,1.0960040998179466,42.16574739990756,42.16574739990756,42.16574739990756,42.16574739990756,42.16574739990756,42.16574739990756,42.46363559993915,43.5967850999441,43.5967850999441,43.5967850999441,43.5967850999441,43.5967850999441,43.5967850999441,43.5967850999441,43.5967850999441,43.5967850999441,43.5967850999441,43.5967850999441,43.5967850999441,43.5967850999441,43.5967850999441,45.02829820010811,45.02829820010811,45.02829820010811,45.02829820010811,45.02829820010811,45.02829820010811,45.02829820010811,71,25,34,44,34,60,45.02829820010811,46.64653269993141,,,,,,,,,,,,,,３１１,f,２２,2023-05-18_09h05.56.648,RL,2022.2.5,60.052990771053224,
19,32,53,74,0,3,3,3,,,,,,,,None,46.64653269993141,46.64653269993141,46.64653269993141,46.64653269993141,46.64653269993141,46.64653269993141,i,1.165010599885136,47.82994209998287,47.82994209998287,47.82994209998287,47.82994209998287,47.82994209998287,47.82994209998287,48.11371470009908,50.12921559996903,50.12921559996903,50.12921559996903,50.12921559996903,50.12921559996903,50.12921559996903,50.112418100005016,50.12921559996903,50.12921559996903,50.12921559996903,50.12921559996903,50.12921559996903,50.12921559996903,50.12921559996903,52.427668400108814,52.427668400108814,52.427668400108814,52.427668400108814,52.427668400108814,52.427668400108814,52.427668400108814,74,19,32,53,32,60,52.427668400108814,53.9451719999779,,,,,,,,,,,,,,３１１,f,２２,2023-05-18_09h05.56.648,RL,2022.2.5,60.052990771053224,
29,45,44,64,0,4,4,4,,,,,,,,None,53.9451719999779,53.9451719999779,53.9451719999779,53.9451719999779,53.9451719999779,53.9451719999779,f,0.49403230007737875,54.462200300069526,54.462200300069526,54.462200300069526,54.462200300069526,54.462200300069526,54.462200300069526,54.74568330007605,56.04483489994891,56.04483489994891,56.04483489994891,56.04483489994891,56.04483489994891,56.04483489994891,56.02840579999611,56.04483489994891,56.04483489994891,56.04483489994891,56.04483489994891,56.04483489994891,56.04483489994891,56.04483489994891,57.626718000043184,57.626718000043184,57.626718000043184,57.626718000043184,57.626718000043184,57.626718000043184,57.626718000043184,64,29,45,44,64,60,57.626718000043184,59.51126109994948,,,,,,,,,,,,,,３１１,f,２２,2023-05-18_09h05.56.648,RL,2022.2.5,60.052990771053224,
32,44,46,76,0,5,5,5,,,,,,,,None,59.51126109994948,59.51126109994948,59.51126109994948,59.51126109994948,59.51126109994948,59.51126109994948,i,0.5528479998465627,60.094426499912515,60.094426499912515,60.094426499912515,60.094426499912515,60.094426499912515,60.094426499912515,60.39463740005158,61.444456999888644,61.444456999888644,61.444456999888644,61.444456999888644,61.444456999888644,61.444456999888644,61.444456999888644,61.444456999888644,61.444456999888644,61.444456999888644,61.444456999888644,61.444456999888644,61.444456999888644,61.444456999888644,62.79175299988128,62.79175299988128,62.79175299988128,62.79175299988128,62.79175299988128,62.79175299988128,62.79175299988128,76,32,44,46,44,60,62.79175299988128,64.37663420010358,,,,,,,,,,,,,,３１１,f,２２,2023-05-18_09h05.56.648,RL,2022.2.5,60.052990771053224,
32,50,46,78,0,6,6,6,,,,,,,,None,64.37663420010358,64.37663420010358,64.37663420010358,64.37663420010358,64.37663420010358,64.37663420010358,r,0.32954459986649454,64.72717779991217,64.72717779991217,64.72717779991217,64.72717779991217,64.72717779991217,64.72717779991217,65.02692759991623,66.57678469992243,66.57678469992243,66.57678469992243,66.57678469992243,66.57678469992243,66.57678469992243,66.57678469992243,66.57678469992243,66.57678469992243,66.57678469992243,66.57678469992243,66.57678469992243,66.57678469992243,66.57678469992243,68.42456980003044,68.42456980003044,68.42456980003044,68.42456980003044,68.42456980003044,68.42456980003044,68.42456980003044,78,32,50,46,32,60,68.42456980003044,70.3758256000001,,,,,,,,,,,,,,３１１,f,２２,2023-05-18_09h05.56.648,RL,2022.2.5,60.052990771053224,
31,43,47,70,0,7,7,7,,,,,,,,None,70.3758256000001,70.3758256000001,70.3758256000001,70.3758256000001,70.3758256000001,70.3758256000001,j,0.548547400161624,70.94288309989497,70.94288309989497,70.94288309989497,70.94288309989497,70.94288309989497,70.94288309989497,71.22576229996048,73.04187839990482,73.04187839990482,73.04187839990482,73.04187839990482,73.04187839990482,73.04187839990482,73.02556440001354,73.04187839990482,73.04187839990482,73.04187839990482,73.04187839990482,73.04187839990482,73.04187839990482,73.04187839990482,75.14042329997756,75.14042329997756,75.14042329997756,75.14042329997756,75.14042329997756,75.14042329997756,75.14042329997756,70,31,43,47,47,60,75.14042329997756,76.97414460009895,,,,,,,,,,,,,,３１１,f,２２,2023-05-18_09h05.56.648,RL,2022.2.5,60.052990771053224,
33,45,53,73,0,8,8,8,,,,,,,,None,76.97414460009895,76.97414460009895,76.97414460009895,76.97414460009895,76.97414460009895,76.97414460009895,f,0.35960680013522506,77.35831009992398,77.35831009992398,77.35831009992398,77.35831009992398,77.35831009992398,77.35831009992398,77.64121749997139,78.49131589988247,78.49131589988247,78.49131589988247,78.49131589988247,78.49131589988247,78.49131589988247,78.47466719988734,78.49131589988247,78.49131589988247,78.49131589988247,78.49131589988247,78.49131589988247,78.49131589988247,78.49131589988247,79.62289620004594,79.62289620004594,79.62289620004594,79.62289620004594,79.62289620004594,79.62289620004594,79.62289620004594,73,33,45,53,73,60,79.62289620004594,81.50690679997206,,,,,,,,,,,,,,３１１,f,２２,2023-05-18_09h05.56.648,RL,2022.2.5,60.052990771053224,
