arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.523501200135797,15.523501200135797,space,6.774236700031906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
30,31,46,67,0,0,0,0,,,,,22.31674290006049,22.31674290006049,27.316408999962732,27.316408999962732,27.316408999962732,28.317869200138375,None,28.317869200138375,28.317869200138375,28.317869200138375,28.317869200138375,28.317869200138375,28.317869200138375,r,0.44356220006011426,28.7879332001321,28.7879332001321,28.7879332001321,28.7879332001321,28.7879332001321,28.7879332001321,29.070137199945748,30.702835300005972,30.7218532001134,30.7218532001134,30.7218532001134,30.7218532001134,30.7218532001134,30.7218532001134,30.7218532001134,30.7218532001134,30.7218532001134,30.7218532001134,30.7218532001134,30.7218532001134,30.7218532001134,32.69895160011947,32.69895160011947,32.69895160011947,32.69895160011947,32.69895160011947,32.69895160011947,32.69895160011947,46,31,30,67,31,70,32.69895160011947,34.68285650014877,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
28,34,50,68,0,1,1,1,,,,,,,,,,,None,34.68285650014877,34.68285650014877,34.68285650014877,34.68285650014877,34.68285650014877,34.68285650014877,f,0.6208343000616878,35.33323280001059,35.33323280001059,35.33323280001059,35.33323280001059,35.33323280001059,35.33323280001059,35.61712840013206,37.06663700006902,37.082565899938345,37.082565899938345,37.082565899938345,37.082565899938345,37.082565899938345,37.082565899938345,37.082565899938345,37.082565899938345,37.082565899938345,37.082565899938345,37.082565899938345,37.082565899938345,37.082565899938345,38.830750999972224,38.830750999972224,38.830750999972224,38.830750999972224,38.830750999972224,38.830750999972224,38.830750999972224,50,34,28,68,50,70,38.830750999972224,40.831979600014165,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
25,34,44,71,0,2,2,2,,,,,,,,,,,None,40.831979600014165,40.831979600014165,40.831979600014165,40.831979600014165,40.831979600014165,40.831979600014165,i,0.6234538999851793,41.48220490012318,41.48220490012318,41.48220490012318,41.48220490012318,41.48220490012318,41.48220490012318,41.7654800999444,42.88229180010967,42.89825700013898,42.89825700013898,42.89825700013898,42.89825700013898,42.89825700013898,42.89825700013898,42.89825700013898,42.89825700013898,42.89825700013898,42.89825700013898,42.89825700013898,42.89825700013898,42.89825700013898,44.31344410008751,44.31344410008751,44.31344410008751,44.31344410008751,44.31344410008751,44.31344410008751,44.31344410008751,44,34,25,71,25,70,44.31344410008751,45.831008800072595,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
19,32,53,74,0,3,3,3,,,,,,,,,,,None,45.831008800072595,45.831008800072595,45.831008800072595,45.831008800072595,45.831008800072595,45.831008800072595,j,0.6528096999973059,46.52037990000099,46.52037990000099,46.52037990000099,46.52037990000099,46.52037990000099,46.52037990000099,46.8148499999661,48.34743760013953,48.364083900116384,48.364083900116384,48.364083900116384,48.364083900116384,48.364083900116384,48.364083900116384,48.364083900116384,48.364083900116384,48.364083900116384,48.364083900116384,48.364083900116384,48.364083900116384,48.364083900116384,50.19558920012787,50.19558920012787,50.19558920012787,50.19558920012787,50.19558920012787,50.19558920012787,50.19558920012787,53,32,19,74,74,70,50.19558920012787,51.99686770001426,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
29,45,44,64,0,4,4,4,,,,,,,,,,,None,51.99686770001426,51.99686770001426,51.99686770001426,51.99686770001426,51.99686770001426,51.99686770001426,j,0.5314128000754863,52.5471274999436,52.5471274999436,52.5471274999436,52.5471274999436,52.5471274999436,52.5471274999436,52.847051199991256,54.2131499000825,54.2131499000825,54.2131499000825,54.2131499000825,54.2131499000825,54.2131499000825,54.2131499000825,54.2131499000825,54.2131499000825,54.2131499000825,54.2131499000825,54.2131499000825,54.2131499000825,54.2131499000825,55.87824809993617,55.87824809993617,55.87824809993617,55.87824809993617,55.87824809993617,55.87824809993617,55.87824809993617,44,45,29,64,64,70,55.87824809993617,57.62921410007402,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
32,44,46,76,0,5,5,5,,,,,,,,,,,None,57.62921410007402,57.62921410007402,57.62921410007402,57.62921410007402,57.62921410007402,57.62921410007402,j,0.4493680000305176,58.09589390014298,58.09589390014298,58.09589390014298,58.09589390014298,58.09589390014298,58.09589390014298,58.37903920002282,59.195864300010726,59.21223950013518,59.21223950013518,59.21223950013518,59.21223950013518,59.21223950013518,59.21223950013518,59.21223950013518,59.21223950013518,59.21223950013518,59.21223950013518,59.21223950013518,59.21223950013518,59.21223950013518,60.32750130002387,60.32750130002387,60.32750130002387,60.32750130002387,60.32750130002387,60.32750130002387,60.32750130002387,46,44,32,76,76,70,60.32750130002387,62.111772400094196,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
32,50,46,78,0,6,6,6,,,,,,,,,,,None,62.111772400094196,62.111772400094196,62.111772400094196,62.111772400094196,62.111772400094196,62.111772400094196,j,0.5793127999641001,62.712009800132364,62.712009800132364,62.712009800132364,62.712009800132364,62.712009800132364,62.712009800132364,63.011906899977475,64.54466639994644,64.54466639994644,64.54466639994644,64.54466639994644,64.54466639994644,64.54466639994644,64.54466639994644,64.54466639994644,64.54466639994644,64.54466639994644,64.54466639994644,64.54466639994644,64.54466639994644,64.54466639994644,66.37636280013248,66.37636280013248,66.37636280013248,66.37636280013248,66.37636280013248,66.37636280013248,66.37636280013248,46,50,32,78,78,70,66.37636280013248,67.92706140014343,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
31,43,47,70,0,7,7,7,,,,,,,,,,,None,67.92706140014343,67.92706140014343,67.92706140014343,67.92706140014343,67.92706140014343,67.92706140014343,j,0.3974603000096977,68.34541860013269,68.34541860013269,68.34541860013269,68.34541860013269,68.34541860013269,68.34541860013269,68.64410219993442,70.54382040002383,70.54382040002383,70.54382040002383,70.54382040002383,70.54382040002383,70.54382040002383,70.54382040002383,70.54382040002383,70.54382040002383,70.54382040002383,70.54382040002383,70.54382040002383,70.54382040002383,70.54382040002383,72.74158970010467,72.74158970010467,72.74158970010467,72.74158970010467,72.74158970010467,72.74158970010467,72.74158970010467,47,43,31,70,70,70,72.74158970010467,74.2931077000685,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
33,45,53,73,0,8,8,8,,,,,,,,,,,None,74.2931077000685,74.2931077000685,74.2931077000685,74.2931077000685,74.2931077000685,74.2931077000685,j,0.4096570999827236,74.72702670004219,74.72702670004219,74.72702670004219,74.72702670004219,74.72702670004219,74.72702670004219,75.02621109993197,76.2594558999408,76.2594558999408,76.2594558999408,76.2594558999408,76.2594558999408,76.2594558999408,76.2594558999408,76.2594558999408,76.2594558999408,76.2594558999408,76.2594558999408,76.2594558999408,76.2594558999408,76.2594558999408,77.79079310013913,77.79079310013913,77.79079310013913,77.79079310013913,77.79079310013913,77.79079310013913,77.79079310013913,53,45,33,73,73,70,77.79079310013913,79.64201249997132,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
