arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.231395900002099,14.231395900002099,space,13.417972600000212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
30,40,55,71,0,0,0,0,,,,,27.676409600000625,27.676409600000625,32.675822100001824,32.675822100001824,32.675822100001824,33.679269100000965,None,33.679269100000965,33.679269100000965,33.679269100000965,33.679269100000965,33.679269100000965,33.679269100000965,f,0.5476708999995026,34.25154760000078,34.25154760000078,34.25154760000078,34.25154760000078,34.25154760000078,34.25154760000078,34.54386020000311,36.179385000003094,36.179385000003094,36.179385000003094,36.179385000003094,36.179385000003094,36.179385000003094,36.179385000003094,36.179385000003094,36.179385000003094,36.179385000003094,36.179385000003094,36.179385000003094,36.179385000003094,36.179385000003094,38.15171290000217,38.15171290000217,38.15171290000217,38.15171290000217,38.15171290000217,38.15171290000217,38.15171290000217,71,40,30,55,71,70,38.15171290000217,40.07626500000333,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
43,41,45,68,0,1,1,1,,,,,,,,,,,None,40.07626500000333,40.07626500000333,40.07626500000333,40.07626500000333,40.07626500000333,40.07626500000333,j,0.4211442999985593,40.53020070000275,40.53020070000275,40.53020070000275,40.53020070000275,40.53020070000275,40.53020070000275,40.80998210000325,42.026837200002774,42.026837200002774,42.026837200002774,42.026837200002774,42.026837200002774,42.026837200002774,42.009573000003,42.026837200002774,42.026837200002774,42.026837200002774,42.026837200002774,42.026837200002774,42.026837200002774,42.026837200002774,43.52458590000242,43.52458590000242,43.52458590000242,43.52458590000242,43.52458590000242,43.52458590000242,43.52458590000242,68,41,43,45,45,70,43.52458590000242,45.525258000001486,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
30,40,36,70,0,2,2,2,,,,,,,,,,,None,45.525258000001486,45.525258000001486,45.525258000001486,45.525258000001486,45.525258000001486,45.525258000001486,i,0.3526596999981848,45.908881800001836,45.908881800001836,45.908881800001836,45.908881800001836,45.908881800001836,45.908881800001836,46.192395699999906,47.04166170000099,47.04166170000099,47.04166170000099,47.04166170000099,47.04166170000099,47.04166170000099,47.02553679999983,47.04166170000099,47.04166170000099,47.04166170000099,47.04166170000099,47.04166170000099,47.04166170000099,47.04166170000099,48.17371060000005,48.17371060000005,48.17371060000005,48.17371060000005,48.17371060000005,48.17371060000005,48.17371060000005,70,40,30,36,30,70,48.17371060000005,49.990732500002196,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
34,45,42,75,0,3,3,3,,,,,,,,,,,None,49.990732500002196,49.990732500002196,49.990732500002196,49.990732500002196,49.990732500002196,49.990732500002196,f,0.48183760000028997,50.494107800001075,50.494107800001075,50.494107800001075,50.494107800001075,50.494107800001075,50.494107800001075,50.774712800001,52.00754380000217,52.00754380000217,52.00754380000217,52.00754380000217,52.00754380000217,52.00754380000217,51.99131710000074,52.00754380000217,52.00754380000217,52.00754380000217,52.00754380000217,52.00754380000217,52.00754380000217,52.00754380000217,53.5222754000024,53.5222754000024,53.5222754000024,53.5222754000024,53.5222754000024,53.5222754000024,53.5222754000024,75,45,34,42,75,70,53.5222754000024,55.52320790000158,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
33,55,46,72,0,4,4,4,,,,,,,,,,,None,55.52320790000158,55.52320790000158,55.52320790000158,55.52320790000158,55.52320790000158,55.52320790000158,r,0.7104561000014655,56.257663800002774,56.257663800002774,56.257663800002774,56.257663800002774,56.257663800002774,56.257663800002774,56.55701180000324,57.506752700002835,57.506752700002835,57.506752700002835,57.506752700002835,57.506752700002835,57.506752700002835,57.506752700002835,57.506752700002835,57.506752700002835,57.506752700002835,57.506752700002835,57.506752700002835,57.506752700002835,57.506752700002835,58.755000900000596,58.755000900000596,58.755000900000596,58.755000900000596,58.755000900000596,58.755000900000596,58.755000900000596,72,55,33,46,55,70,58.755000900000596,60.37234460000036,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
43,40,41,68,0,5,5,5,,,,,,,,,,,None,60.37234460000036,60.37234460000036,60.37234460000036,60.37234460000036,60.37234460000036,60.37234460000036,f,0.45612659999824245,60.85767390000183,60.85767390000183,60.85767390000183,60.85767390000183,60.85767390000183,60.85767390000183,61.13967010000124,62.75553740000032,62.75553740000032,62.75553740000032,62.75553740000032,62.75553740000032,62.75553740000032,62.73916950000057,62.75553740000032,62.75553740000032,62.75553740000032,62.75553740000032,62.75553740000032,62.75553740000032,62.75553740000032,64.65372870000283,64.65372870000283,64.65372870000283,64.65372870000283,64.65372870000283,64.65372870000283,64.65372870000283,68,40,43,41,68,70,64.65372870000283,66.5881859000001,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
38,53,43,71,0,6,6,6,,,,,,,,,,,None,66.5881859000001,66.5881859000001,66.5881859000001,66.5881859000001,66.5881859000001,66.5881859000001,f,0.32378980000066804,66.9385254000008,66.9385254000008,66.9385254000008,66.9385254000008,66.9385254000008,66.9385254000008,67.22154210000008,68.25496650000059,68.25496650000059,68.25496650000059,68.25496650000059,68.25496650000059,68.25496650000059,68.23842409999997,68.25496650000059,68.25496650000059,68.25496650000059,68.25496650000059,68.25496650000059,68.25496650000059,68.25496650000059,69.56996660000004,69.56996660000004,69.56996660000004,69.56996660000004,69.56996660000004,69.56996660000004,69.56996660000004,71,53,38,43,71,70,69.56996660000004,71.48744070000248,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
39,49,36,68,0,7,7,7,,,,,,,,,,,None,71.48744070000248,71.48744070000248,71.48744070000248,71.48744070000248,71.48744070000248,71.48744070000248,j,0.8906864000018686,72.40418460000001,72.40418460000001,72.40418460000001,72.40418460000001,72.40418460000001,72.40418460000001,72.68715220000013,73.58734220000042,73.58734220000042,73.58734220000042,73.58734220000042,73.58734220000042,73.58734220000042,73.57042840000213,73.58734220000042,73.58734220000042,73.58734220000042,73.58734220000042,73.58734220000042,73.58734220000042,73.58734220000042,74.76885570000013,74.76885570000013,74.76885570000013,74.76885570000013,74.76885570000013,74.76885570000013,74.76885570000013,68,49,39,36,36,70,74.76885570000013,76.73673170000257,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
45,43,33,67,0,8,8,8,,,,,,,,,,,None,76.73673170000257,76.73673170000257,76.73673170000257,76.73673170000257,76.73673170000257,76.73673170000257,f,0.5360604000015883,77.30844190000062,77.30844190000062,77.30844190000062,77.30844190000062,77.30844190000062,77.30844190000062,77.60329810000258,78.45295900000201,78.45295900000201,78.45295900000201,78.45295900000201,78.45295900000201,78.45295900000201,78.45295900000201,78.45295900000201,78.45295900000201,78.45295900000201,78.45295900000201,78.45295900000201,78.45295900000201,78.45295900000201,79.60146140000143,79.60146140000143,79.60146140000143,79.60146140000143,79.60146140000143,79.60146140000143,79.60146140000143,67,43,45,33,67,70,79.60146140000143,81.41893390000041,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
