arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.583337399999436,13.583337399999436,space,3.8255418999979156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
28,28,47,74,0,0,0,0,,,,,17.44075089999751,17.44075089999751,22.452979399997275,None,23.454492899996694,23.454492899996694,23.454492899996694,23.454492899996694,23.454492899996694,23.454492899996694,f,0.7221286000021792,24.2148159999997,24.2148159999997,24.2148159999997,24.2148159999997,24.2148159999997,24.2148159999997,24.48957899999732,25.75793149999663,25.79556429999866,25.79556429999866,25.79556429999866,25.79556429999866,25.79556429999866,25.79556429999866,25.79556429999866,25.79556429999866,25.79556429999866,25.79556429999866,25.79556429999866,25.79556429999866,25.79556429999866,27.420997299999726,27.420997299999726,27.420997299999726,27.420997299999726,27.420997299999726,27.420997299999726,27.420997299999726,74,28,28,47,74,70,27.420997299999726,29.38641319999806,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
27,40,49,68,0,1,1,1,,,,,,,,None,29.38641319999806,29.38641319999806,29.38641319999806,29.38641319999806,29.38641319999806,29.38641319999806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,27,40,49,0,70,36.90090919999784,38.635152999999264,30.88836269999956,36.90090919999784,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
34,31,51,74,0,2,2,2,,,,,,,,None,38.635152999999264,38.635152999999264,38.635152999999264,38.635152999999264,38.635152999999264,38.635152999999264,f,0.40158799999699113,39.07391629999984,39.07391629999984,39.07391629999984,39.07391629999984,39.07391629999984,39.07391629999984,39.352305599997635,40.31857189999937,40.3348124999975,40.3348124999975,40.3348124999975,40.3348124999975,40.3348124999975,40.3348124999975,40.3348124999975,40.3348124999975,40.3348124999975,40.3348124999975,40.3348124999975,40.3348124999975,40.3348124999975,41.58310739999797,41.58310739999797,41.58310739999797,41.58310739999797,41.58310739999797,41.58310739999797,41.58310739999797,74,34,31,51,74,70,41.58310739999797,43.43396690000009,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
27,28,51,66,0,3,3,3,,,,,,,,None,43.43396690000009,43.43396690000009,43.43396690000009,43.43396690000009,43.43396690000009,43.43396690000009,f,0.8823210000009567,44.335494399998424,44.335494399998424,44.335494399998424,44.335494399998424,44.335494399998424,44.335494399998424,44.61802209999951,45.617755499999475,45.63402009999845,45.63402009999845,45.63402009999845,45.63402009999845,45.63402009999845,45.63402009999845,45.63402009999845,45.63402009999845,45.63402009999845,45.63402009999845,45.63402009999845,45.63402009999845,45.63402009999845,46.93229699999938,46.93229699999938,46.93229699999938,46.93229699999938,46.93229699999938,46.93229699999938,46.93229699999938,66,27,28,51,66,70,46.93229699999938,48.66641889999664,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
26,34,50,71,0,4,4,4,,,,,,,,None,48.66641889999664,48.66641889999664,48.66641889999664,48.66641889999664,48.66641889999664,48.66641889999664,r,0.775038299998414,49.46702579999692,49.46702579999692,49.46702579999692,49.46702579999692,49.46702579999692,49.46702579999692,49.750408699997934,50.916539799996826,50.933658699999796,50.933658699999796,50.933658699999796,50.933658699999796,50.933658699999796,50.933658699999796,50.933658699999796,50.933658699999796,50.933658699999796,50.933658699999796,50.933658699999796,50.933658699999796,50.933658699999796,52.398099099998944,52.398099099998944,52.398099099998944,52.398099099998944,52.398099099998944,52.398099099998944,52.398099099998944,71,26,34,50,26,70,52.398099099998944,54.232343599996966,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
27,33,52,77,0,5,5,5,,,,,,,,None,54.232343599996966,54.232343599996966,54.232343599996966,54.232343599996966,54.232343599996966,54.232343599996966,j,0.7867469000011624,55.04949940000006,55.04949940000006,55.04949940000006,55.04949940000006,55.04949940000006,55.04949940000006,55.33249169999908,57.19894939999722,57.21537439999884,57.21537439999884,57.21537439999884,57.21537439999884,57.21537439999884,57.21537439999884,57.21537439999884,57.21537439999884,57.21537439999884,57.21537439999884,57.21537439999884,57.21537439999884,57.21537439999884,59.380117699998664,59.380117699998664,59.380117699998664,59.380117699998664,59.380117699998664,59.380117699998664,59.380117699998664,77,27,33,52,52,70,59.380117699998664,60.99777279999762,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
32,38,55,68,0,6,6,6,,,,,,,,None,60.99777279999762,60.99777279999762,60.99777279999762,60.99777279999762,60.99777279999762,60.99777279999762,i,0.5276849000001675,61.549600099999225,61.549600099999225,61.549600099999225,61.549600099999225,61.549600099999225,61.549600099999225,61.83107569999993,63.78120679999847,63.798125999997865,63.798125999997865,63.798125999997865,63.798125999997865,63.798125999997865,63.798125999997865,63.798125999997865,63.798125999997865,63.798125999997865,63.798125999997865,63.798125999997865,63.798125999997865,63.798125999997865,66.04595119999794,66.04595119999794,66.04595119999794,66.04595119999794,66.04595119999794,66.04595119999794,66.04595119999794,68,32,38,55,38,70,66.04595119999794,67.9303218999994,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
35,43,53,77,0,7,7,7,,,,,,,,None,67.9303218999994,67.9303218999994,67.9303218999994,67.9303218999994,67.9303218999994,67.9303218999994,f,0.5377623999993375,68.49724409999908,68.49724409999908,68.49724409999908,68.49724409999908,68.49724409999908,68.49724409999908,68.7804163999972,70.0468970999973,70.06356349999987,70.06356349999987,70.06356349999987,70.06356349999987,70.06356349999987,70.06356349999987,70.06356349999987,70.06356349999987,70.06356349999987,70.06356349999987,70.06356349999987,70.06356349999987,70.06356349999987,71.62823889999709,71.62823889999709,71.62823889999709,71.62823889999709,71.62823889999709,71.62823889999709,71.62823889999709,77,35,43,53,77,70,71.62823889999709,73.31225730000006,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
39,39,57,81,0,8,8,8,,,,,,,,None,73.31225730000006,73.31225730000006,73.31225730000006,73.31225730000006,73.31225730000006,73.31225730000006,f,0.7406160000027739,74.07961839999916,74.07961839999916,74.07961839999916,74.07961839999916,74.07961839999916,74.07961839999916,74.36262379999971,75.69567459999962,75.71228289999999,75.71228289999999,75.71228289999999,75.71228289999999,75.71228289999999,75.71228289999999,75.71228289999999,75.71228289999999,75.71228289999999,75.71228289999999,75.71228289999999,75.71228289999999,75.71228289999999,77.34334139999919,77.34334139999919,77.34334139999919,77.34334139999919,77.34334139999919,77.34334139999919,77.34334139999919,81,39,39,57,81,70,77.34334139999919,79.34494099999938,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
42,42,51,74,0,9,9,9,,,,,,,,None,79.34494099999938,79.34494099999938,79.34494099999938,79.34494099999938,79.34494099999938,79.34494099999938,f,0.4948084999996354,79.86162199999671,79.86162199999671,79.86162199999671,79.86162199999671,79.86162199999671,79.86162199999671,80.14505730000019,81.04499629999918,81.06128429999808,81.06128429999808,81.06128429999808,81.06128429999808,81.06128429999808,81.06128429999808,81.06128429999808,81.06128429999808,81.06128429999808,81.06128429999808,81.06128429999808,81.06128429999808,81.06128429999808,82.2597539999988,82.2597539999988,82.2597539999988,82.2597539999988,82.2597539999988,82.2597539999988,82.2597539999988,74,42,42,51,74,70,82.2597539999988,83.77734309999869,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
41,48,47,68,0,10,10,10,,,,,,,,None,83.77734309999869,83.77734309999869,83.77734309999869,83.77734309999869,83.77734309999869,83.77734309999869,f,0.6040236000008008,84.417185899998,84.417185899998,84.417185899998,84.417185899998,84.417185899998,84.417185899998,84.71072789999744,86.11032519999935,86.11032519999935,86.11032519999935,86.11032519999935,86.11032519999935,86.11032519999935,86.11032519999935,86.11032519999935,86.11032519999935,86.11032519999935,86.11032519999935,86.11032519999935,86.11032519999935,86.11032519999935,87.80885729999864,87.80885729999864,87.80885729999864,87.80885729999864,87.80885729999864,87.80885729999864,87.80885729999864,68,41,48,47,68,70,87.80885729999864,89.45932549999998,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
40,45,47,65,0,11,11,11,,,,,,,,None,89.45932549999998,89.45932549999998,89.45932549999998,89.45932549999998,89.45932549999998,89.45932549999998,f,0.4867639000003692,89.97967569999673,89.97967569999673,89.97967569999673,89.97967569999673,89.97967569999673,89.97967569999673,90.26009039999917,91.42677249999906,91.4427598000002,91.4427598000002,91.4427598000002,91.4427598000002,91.4427598000002,91.4427598000002,91.4427598000002,91.4427598000002,91.4427598000002,91.4427598000002,91.4427598000002,91.4427598000002,91.4427598000002,92.9080361999986,92.9080361999986,92.9080361999986,92.9080361999986,92.9080361999986,92.9080361999986,92.9080361999986,65,40,45,47,65,70,92.9080361999986,94.57523989999754,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
50,48,40,73,0,12,12,12,,,,,,,,None,94.57523989999754,94.57523989999754,94.57523989999754,94.57523989999754,94.57523989999754,94.57523989999754,f,0.6137014999985695,95.20908839999902,95.20908839999902,95.20908839999902,95.20908839999902,95.20908839999902,95.20908839999902,95.50900799999727,96.94200309999724,96.94200309999724,96.94200309999724,96.94200309999724,96.94200309999724,96.94200309999724,96.94200309999724,96.94200309999724,96.94200309999724,96.94200309999724,96.94200309999724,96.94200309999724,96.94200309999724,96.94200309999724,98.67352759999994,98.67352759999994,98.67352759999994,98.67352759999994,98.67352759999994,98.67352759999994,98.67352759999994,73,50,48,40,73,70,98.67352759999994,100.32419459999801,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
