arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,57.85633659999996,57.85633659999996,space,22.815489200000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
32,51,56,53,0,0,0,0,,,,,80.7008414,80.7008414,85.7071209,None,86.71800329999996,86.71800329999996,86.71800329999996,86.71800329999996,86.71800329999996,86.71800329999996,j,0.7877096000000279,87.53907129999999,87.53907129999999,87.53907129999999,87.53907129999999,87.53907129999999,87.53907129999999,87.8167578,88.79456049999999,88.83306010000001,88.83306010000001,88.83306010000001,88.83306010000001,88.83306010000001,88.83306010000001,88.83306010000001,88.83306010000001,88.83306010000001,88.83306010000001,88.83306010000001,88.83306010000001,88.83306010000001,90.22943839999999,90.22943839999999,90.22943839999999,90.22943839999999,90.22943839999999,90.22943839999999,90.22943839999999,32,56,51,53,53,60,90.22943839999999,92.04104369999999,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
29,47,50,51,0,1,1,1,,,,,,,,None,92.04104369999999,92.04104369999999,92.04104369999999,92.04104369999999,92.04104369999999,92.04104369999999,r,0.596337799999958,92.66098669999997,92.66098669999997,92.66098669999997,92.66098669999997,92.66098669999997,92.66098669999997,92.95765139999997,94.25733819999999,94.25733819999999,94.25733819999999,94.25733819999999,94.25733819999999,94.25733819999999,94.25733819999999,94.25733819999999,94.25733819999999,94.25733819999999,94.25733819999999,94.25733819999999,94.25733819999999,94.25733819999999,95.85541139999998,95.85541139999998,95.85541139999998,95.85541139999998,95.85541139999998,95.85541139999998,95.85541139999998,29,50,47,51,50,60,95.85541139999998,97.40688460000001,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
38,53,59,57,0,2,2,2,,,,,,,,None,97.40688460000001,97.40688460000001,97.40688460000001,97.40688460000001,97.40688460000001,97.40688460000001,j,0.8204860999999823,98.25699980000002,98.25699980000002,98.25699980000002,98.25699980000002,98.25699980000002,98.25699980000002,98.55690099999998,100.02280539999998,100.02280539999998,100.02280539999998,100.02280539999998,100.02280539999998,100.02280539999998,100.02280539999998,100.02280539999998,100.02280539999998,100.02280539999998,100.02280539999998,100.02280539999998,100.02280539999998,100.02280539999998,101.78746100000001,101.78746100000001,101.78746100000001,101.78746100000001,101.78746100000001,101.78746100000001,101.78746100000001,38,59,53,57,57,60,101.78746100000001,103.3889476,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
32,54,62,57,0,3,3,3,,,,,,,,None,103.3889476,103.3889476,103.3889476,103.3889476,103.3889476,103.3889476,i,0.486865000000023,103.90894199999997,103.90894199999997,103.90894199999997,103.90894199999997,103.90894199999997,103.90894199999997,104.1891296,105.1888634,105.2049887,105.2049887,105.2049887,105.2049887,105.2049887,105.2049887,105.2049887,105.2049887,105.2049887,105.2049887,105.2049887,105.2049887,105.2049887,106.50338260000001,106.50338260000001,106.50338260000001,106.50338260000001,106.50338260000001,106.50338260000001,106.50338260000001,32,62,54,57,54,60,106.50338260000001,108.3546035,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
35,54,64,51,0,4,4,4,,,,,,,,None,108.3546035,108.3546035,108.3546035,108.3546035,108.3546035,108.3546035,r,0.7819643999999926,109.15614759999994,109.15614759999994,109.15614759999994,109.15614759999994,109.15614759999994,109.15614759999994,109.43845820000001,111.27159089999998,111.28759030000003,111.28759030000003,111.28759030000003,111.28759030000003,111.28759030000003,111.28759030000003,111.28759030000003,111.28759030000003,111.28759030000003,111.28759030000003,111.28759030000003,111.28759030000003,111.28759030000003,113.41914439999994,113.41914439999994,113.41914439999994,113.41914439999994,113.41914439999994,113.41914439999994,113.41914439999994,35,64,54,51,64,60,113.41914439999994,115.32025490000001,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
22,62,73,55,0,5,5,5,,,,,,,,None,115.32025490000001,115.32025490000001,115.32025490000001,115.32025490000001,115.32025490000001,115.32025490000001,j,0.2968884000000571,115.64126539999995,115.64126539999995,115.64126539999995,115.64126539999995,115.64126539999995,115.64126539999995,115.92059089999998,117.36990489999994,117.3864585,117.3864585,117.3864585,117.3864585,117.3864585,117.3864585,117.3864585,117.3864585,117.3864585,117.3864585,117.3864585,117.3864585,117.3864585,119.13477790000002,119.13477790000002,119.13477790000002,119.13477790000002,119.13477790000002,119.13477790000002,119.13477790000002,22,73,62,55,55,60,119.13477790000002,120.76909269999999,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
24,67,60,62,0,6,6,6,,,,,,,,None,120.76909269999999,120.76909269999999,120.76909269999999,120.76909269999999,120.76909269999999,120.76909269999999,r,0.712052999999969,121.50399659999994,121.50399659999994,121.50399659999994,121.50399659999994,121.50399659999994,121.50399659999994,121.78631689999997,123.50264479999998,123.51905239999996,123.51905239999996,123.51905239999996,123.51905239999996,123.51905239999996,123.51905239999996,123.51905239999996,123.51905239999996,123.51905239999996,123.51905239999996,123.51905239999996,123.51905239999996,123.51905239999996,125.53346769999996,125.53346769999996,125.53346769999996,125.53346769999996,125.53346769999996,125.53346769999996,125.53346769999996,24,60,67,62,60,60,125.53346769999996,127.16810199999998,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
32,61,58,54,0,7,7,7,,,,,,,,None,127.16810199999998,127.16810199999998,127.16810199999998,127.16810199999998,127.16810199999998,127.16810199999998,i,0.2951968999999508,127.4855579,127.4855579,127.4855579,127.4855579,127.4855579,127.4855579,127.76803610000002,129.1346446,129.15496429999996,129.15496429999996,129.15496429999996,129.15496429999996,129.15496429999996,129.15496429999996,129.15496429999996,129.15496429999996,129.15496429999996,129.15496429999996,129.15496429999996,129.15496429999996,129.15496429999996,130.8161649,130.8161649,130.8161649,130.8161649,130.8161649,130.8161649,130.8161649,32,58,61,54,61,60,130.8161649,132.4504194,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
39,59,59,54,0,8,8,8,,,,,,,,None,132.4504194,132.4504194,132.4504194,132.4504194,132.4504194,132.4504194,f,0.34141140000008363,132.81847500000003,132.81847500000003,132.81847500000003,132.81847500000003,132.81847500000003,132.81847500000003,133.1004709,135.0002803,135.01679090000005,135.01679090000005,135.01679090000005,135.01679090000005,135.01679090000005,135.01679090000005,135.01679090000005,135.01679090000005,135.01679090000005,135.01679090000005,135.01679090000005,135.01679090000005,135.01679090000005,137.2149495,137.2149495,137.2149495,137.2149495,137.2149495,137.2149495,137.2149495,39,59,59,54,39,60,137.2149495,138.7322597,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
