arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.04616139997961,20.04616139997961,space,16.358891299983952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
30,40,56,63,0,0,0,0,,,,,36.432773799984716,36.432773799984716,41.43225319997873,41.43225319997873,41.43225319997873,42.433708299999125,None,42.433708299999125,42.433708299999125,42.433708299999125,42.433708299999125,42.433708299999125,42.433708299999125,f,0.6790820999885909,43.14744879998034,43.14744879998034,43.14744879998034,43.14744879998034,43.14744879998034,43.14744879998034,43.43344639998395,44.95011069998145,44.967285099992296,44.967285099992296,44.967285099992296,44.967285099992296,44.967285099992296,44.967285099992296,44.967285099992296,44.967285099992296,44.967285099992296,44.967285099992296,44.967285099992296,44.967285099992296,44.967285099992296,46.82712669999455,46.82712669999455,46.82712669999455,46.82712669999455,46.82712669999455,46.82712669999455,46.82712669999455,30,56,40,63,30,60,46.82712669999455,48.64932749999571,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
33,40,56,55,0,1,1,1,,,,,,,,,,,None,48.64932749999571,48.64932749999571,48.64932749999571,48.64932749999571,48.64932749999571,48.64932749999571,r,0.33347300000605173,49.00273310000193,49.00273310000193,49.00273310000193,49.00273310000193,49.00273310000193,49.00273310000193,49.29936279999674,50.18204899999546,50.18204899999546,50.18204899999546,50.18204899999546,50.18204899999546,50.18204899999546,50.18204899999546,50.18204899999546,50.18204899999546,50.18204899999546,50.18204899999546,50.18204899999546,50.18204899999546,50.18204899999546,51.363676099979784,51.363676099979784,51.363676099979784,51.363676099979784,51.363676099979784,51.363676099979784,51.363676099979784,33,56,40,55,56,60,51.363676099979784,53.298272699990775,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
28,44,54,63,0,2,2,2,,,,,,,,,,,None,53.298272699990775,53.298272699990775,53.298272699990775,53.298272699990775,53.298272699990775,53.298272699990775,j,0.3188603000016883,53.6556838999968,53.6556838999968,53.6556838999968,53.6556838999968,53.6556838999968,53.6556838999968,53.93221449997509,55.61508619997767,55.6311268999998,55.6311268999998,55.6311268999998,55.6311268999998,55.6311268999998,55.6311268999998,55.6311268999998,55.6311268999998,55.6311268999998,55.6311268999998,55.6311268999998,55.6311268999998,55.6311268999998,57.613006799976574,57.613006799976574,57.613006799976574,57.613006799976574,57.613006799976574,57.613006799976574,57.613006799976574,28,54,44,63,63,60,57.613006799976574,59.464122999983374,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
22,38,54,53,0,3,3,3,,,,,,,,,,,None,59.464122999983374,59.464122999983374,59.464122999983374,59.464122999983374,59.464122999983374,59.464122999983374,i,0.3525826999975834,59.85156359997927,59.85156359997927,59.85156359997927,59.85156359997927,59.85156359997927,59.85156359997927,60.13063699999475,62.11368989999755,62.13000859998283,62.13000859998283,62.13000859998283,62.13000859998283,62.13000859998283,62.13000859998283,62.13000859998283,62.13000859998283,62.13000859998283,62.13000859998283,62.13000859998283,62.13000859998283,62.13000859998283,64.41173299998627,64.41173299998627,64.41173299998627,64.41173299998627,64.41173299998627,64.41173299998627,64.41173299998627,22,54,38,53,38,60,64.41173299998627,65.99611099998583,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
30,44,59,59,0,4,4,4,,,,,,,,,,,None,65.99611099998583,65.99611099998583,65.99611099998583,65.99611099998583,65.99611099998583,65.99611099998583,j,0.3257393999956548,66.34656529998756,66.34656529998756,66.34656529998756,66.34656529998756,66.34656529998756,66.34656529998756,66.64598319999641,68.49998739999137,68.49998739999137,68.49998739999137,68.49998739999137,68.49998739999137,68.49998739999137,68.49998739999137,68.49998739999137,68.49998739999137,68.49998739999137,68.49998739999137,68.49998739999137,68.49998739999137,68.49998739999137,70.64406510000117,70.64406510000117,70.64406510000117,70.64406510000117,70.64406510000117,70.64406510000117,70.64406510000117,30,59,44,59,59,60,70.64406510000117,72.645196700003,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
33,44,64,55,0,5,5,5,,,,,,,,,,,None,72.645196700003,72.645196700003,72.645196700003,72.645196700003,72.645196700003,72.645196700003,j,0.3543192000070121,73.02978019998409,73.02978019998409,73.02978019998409,73.02978019998409,73.02978019998409,73.02978019998409,73.31183699998655,74.29535249999026,74.31163079998805,74.31163079998805,74.31163079998805,74.31163079998805,74.31163079998805,74.31163079998805,74.31163079998805,74.31163079998805,74.31163079998805,74.31163079998805,74.31163079998805,74.31163079998805,74.31163079998805,75.59293829998933,75.59293829998933,75.59293829998933,75.59293829998933,75.59293829998933,75.59293829998933,75.59293829998933,33,64,44,55,55,60,75.59293829998933,77.29428649999318,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
28,44,61,52,0,6,6,6,,,,,,,,,,,None,77.29428649999318,77.29428649999318,77.29428649999318,77.29428649999318,77.29428649999318,77.29428649999318,f,0.39621450001141056,77.71161879997817,77.71161879997817,77.71161879997817,77.71161879997817,77.71161879997817,77.71161879997817,78.01145269998233,79.16088049998507,79.16088049998507,79.16088049998507,79.16088049998507,79.16088049998507,79.16088049998507,79.16088049998507,79.16088049998507,79.16088049998507,79.16088049998507,79.16088049998507,79.16088049998507,79.16088049998507,79.16088049998507,80.60914559999947,80.60914559999947,80.60914559999947,80.60914559999947,80.60914559999947,80.60914559999947,80.60914559999947,28,61,44,52,28,60,80.60914559999947,82.26009539997904,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
26,46,68,44,0,7,7,7,,,,,,,,,,,None,82.26009539997904,82.26009539997904,82.26009539997904,82.26009539997904,82.26009539997904,82.26009539997904,r,0.5812757999810856,82.86200569997891,82.86200569997891,82.86200569997891,82.86200569997891,82.86200569997891,82.86200569997891,83.16015299997525,84.92627739999443,84.92627739999443,84.92627739999443,84.92627739999443,84.92627739999443,84.92627739999443,84.92627739999443,84.92627739999443,84.92627739999443,84.92627739999443,84.92627739999443,84.92627739999443,84.92627739999443,84.92627739999443,86.99104490000173,86.99104490000173,86.99104490000173,86.99104490000173,86.99104490000173,86.99104490000173,86.99104490000173,26,68,46,44,68,60,86.99104490000173,88.80909119997523,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
29,45,69,47,0,8,8,8,,,,,,,,,,,None,88.80909119997523,88.80909119997523,88.80909119997523,88.80909119997523,88.80909119997523,88.80909119997523,r,0.2957352999947034,89.12595459999284,89.12595459999284,89.12595459999284,89.12595459999284,89.12595459999284,89.12595459999284,89.42555839999113,91.12519089999842,91.12519089999842,91.12519089999842,91.12519089999842,91.12519089999842,91.12519089999842,91.12519089999842,91.12519089999842,91.12519089999842,91.12519089999842,91.12519089999842,91.12519089999842,91.12519089999842,91.12519089999842,93.12372149998555,93.12372149998555,93.12372149998555,93.12372149998555,93.12372149998555,93.12372149998555,93.12372149998555,29,69,45,47,69,60,93.12372149998555,95.04088570000022,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
24,50,63,37,0,9,9,9,,,,,,,,,,,None,95.04088570000022,95.04088570000022,95.04088570000022,95.04088570000022,95.04088570000022,95.04088570000022,r,0.2848680000170134,95.35936949998722,95.35936949998722,95.35936949998722,95.35936949998722,95.35936949998722,95.35936949998722,95.64121549998526,96.47460529999807,96.49115989997517,96.49115989997517,96.49115989997517,96.49115989997517,96.49115989997517,96.49115989997517,96.49115989997517,96.49115989997517,96.49115989997517,96.49115989997517,96.49115989997517,96.49115989997517,96.49115989997517,97.62253799999598,97.62253799999598,97.62253799999598,97.62253799999598,97.62253799999598,97.62253799999598,97.62253799999598,24,63,50,37,63,60,97.62253799999598,99.19016399999964,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
24,52,69,47,0,10,10,10,,,,,,,,,,,None,99.19016399999964,99.19016399999964,99.19016399999964,99.19016399999964,99.19016399999964,99.19016399999964,r,0.42950070000370033,99.64186709999922,99.64186709999922,99.64186709999922,99.64186709999922,99.64186709999922,99.64186709999922,99.94029219998629,100.92361019999953,100.92361019999953,100.92361019999953,100.92361019999953,100.92361019999953,100.92361019999953,100.92361019999953,100.92361019999953,100.92361019999953,100.92361019999953,100.92361019999953,100.92361019999953,100.92361019999953,100.92361019999953,102.20518249997986,102.20518249997986,102.20518249997986,102.20518249997986,102.20518249997986,102.20518249997986,102.20518249997986,24,69,52,47,69,60,102.20518249997986,103.8225320999918,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
23,50,55,40,0,11,11,11,,,,,,,,,,,None,103.8225320999918,103.8225320999918,103.8225320999918,103.8225320999918,103.8225320999918,103.8225320999918,r,0.26250209999852814,104.10759040000266,104.10759040000266,104.10759040000266,104.10759040000266,104.10759040000266,104.10759040000266,104.40635769997607,105.2898026999901,105.2898026999901,105.2898026999901,105.2898026999901,105.2898026999901,105.2898026999901,105.2898026999901,105.2898026999901,105.2898026999901,105.2898026999901,105.2898026999901,105.2898026999901,105.2898026999901,105.2898026999901,106.47143419997883,106.47143419997883,106.47143419997883,106.47143419997883,106.47143419997883,106.47143419997883,106.47143419997883,23,55,50,40,55,60,106.47143419997883,108.25533929999801,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
37,42,51,46,0,12,12,12,,,,,,,,,,,None,108.25533929999801,108.25533929999801,108.25533929999801,108.25533929999801,108.25533929999801,108.25533929999801,j,0.24581140000373125,108.52292819999275,108.52292819999275,108.52292819999275,108.52292819999275,108.52292819999275,108.52292819999275,108.80578699999023,109.82221509999363,109.83844130000216,109.83844130000216,109.83844130000216,109.83844130000216,109.83844130000216,109.83844130000216,109.83844130000216,109.83844130000216,109.83844130000216,109.83844130000216,109.83844130000216,109.83844130000216,109.83844130000216,111.15339569997741,111.15339569997741,111.15339569997741,111.15339569997741,111.15339569997741,111.15339569997741,111.15339569997741,37,51,42,46,46,60,111.15339569997741,113.10506889998214,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
26,58,48,47,0,13,13,13,,,,,,,,,,,None,113.10506889998214,113.10506889998214,113.10506889998214,113.10506889998214,113.10506889998214,113.10506889998214,r,0.2861990999954287,113.42427429999225,113.42427429999225,113.42427429999225,113.42427429999225,113.42427429999225,113.42427429999225,113.72148719997494,114.7877072999836,114.80453389999457,114.80453389999457,114.80453389999457,114.80453389999457,114.80453389999457,114.80453389999457,114.80453389999457,114.80453389999457,114.80453389999457,114.80453389999457,114.80453389999457,114.80453389999457,114.80453389999457,116.16939339999226,116.16939339999226,116.16939339999226,116.16939339999226,116.16939339999226,116.16939339999226,116.16939339999226,26,48,58,47,48,60,116.16939339999226,117.85374579997733,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
