arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.7790811000159,34.7790811000159,space,4.475582000013674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
32,41,57,55,0,0,0,0,,,,,39.27173700000276,39.27173700000276,44.27151729998877,44.27151729998877,44.27151729998877,45.273176999995485,None,45.273176999995485,45.273176999995485,45.273176999995485,45.273176999995485,45.273176999995485,45.273176999995485,r,0.9543287999986205,46.259536300000036,46.259536300000036,46.259536300000036,46.259536300000036,46.259536300000036,46.259536300000036,46.53982070001075,48.292367000016384,48.31315390000236,48.31315390000236,48.31315390000236,48.31315390000236,48.31315390000236,48.31315390000236,48.31315390000236,48.31315390000236,48.31315390000236,48.31315390000236,48.31315390000236,48.31315390000236,48.31315390000236,50.415997300005984,50.415997300005984,50.415997300005984,50.415997300005984,50.415997300005984,50.415997300005984,50.415997300005984,55,57,41,32,57,60,50.415997300005984,52.071635100001004,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
34,23,64,60,0,1,1,1,,,,,,,,,,,None,52.071635100001004,52.071635100001004,52.071635100001004,52.071635100001004,52.071635100001004,52.071635100001004,r,1.3325219000107609,53.42368979999446,53.42368979999446,53.42368979999446,53.42368979999446,53.42368979999446,53.42368979999446,53.7213339000009,54.87112560000969,54.87112560000969,54.87112560000969,54.87112560000969,54.87112560000969,54.87112560000969,54.87112560000969,54.87112560000969,54.87112560000969,54.87112560000969,54.87112560000969,54.87112560000969,54.87112560000969,54.87112560000969,56.319030699989526,56.319030699989526,56.319030699989526,56.319030699989526,56.319030699989526,56.319030699989526,56.319030699989526,60,64,23,34,64,60,56.319030699989526,58.00337049999507,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
34,35,44,64,0,2,2,2,,,,,,,,,,,None,58.00337049999507,58.00337049999507,58.00337049999507,58.00337049999507,58.00337049999507,58.00337049999507,r,1.268949999997858,59.31157930000336,59.31157930000336,59.31157930000336,59.31157930000336,59.31157930000336,59.31157930000336,59.58771940000588,61.07045550001203,61.10387260001153,61.10387260001153,61.10387260001153,61.10387260001153,61.10387260001153,61.10387260001153,61.10387260001153,61.10387260001153,61.10387260001153,61.10387260001153,61.10387260001153,61.10387260001153,61.10387260001153,62.885136500000954,62.885136500000954,62.885136500000954,62.885136500000954,62.885136500000954,62.885136500000954,62.885136500000954,64,44,35,34,44,60,62.885136500000954,64.73579820001032,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
45,32,57,55,0,3,3,3,,,,,,,,,,,None,64.73579820001032,64.73579820001032,64.73579820001032,64.73579820001032,64.73579820001032,64.73579820001032,j,0.7568967999832239,65.51958459999878,65.51958459999878,65.51958459999878,65.51958459999878,65.51958459999878,65.51958459999878,65.80296790000284,66.98588170000585,67.00216550001642,67.00216550001642,67.00216550001642,67.00216550001642,67.00216550001642,67.00216550001642,67.00216550001642,67.00216550001642,67.00216550001642,67.00216550001642,67.00216550001642,67.00216550001642,67.00216550001642,68.48384870000882,68.48384870000882,68.48384870000882,68.48384870000882,68.48384870000882,68.48384870000882,68.48384870000882,55,57,32,45,45,60,68.48384870000882,70.2019239999936,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
29,41,51,50,0,4,4,4,,,,,,,,,,,None,70.2019239999936,70.2019239999936,70.2019239999936,70.2019239999936,70.2019239999936,70.2019239999936,i,0.8742172999773175,71.10282309999457,71.10282309999457,71.10282309999457,71.10282309999457,71.10282309999457,71.10282309999457,71.40172319998965,72.4680067000154,72.4680067000154,72.4680067000154,72.4680067000154,72.4680067000154,72.4680067000154,72.4680067000154,72.4680067000154,72.4680067000154,72.4680067000154,72.4680067000154,72.4680067000154,72.4680067000154,72.4680067000154,73.8330108000082,73.8330108000082,73.8330108000082,73.8330108000082,73.8330108000082,73.8330108000082,73.8330108000082,50,51,41,29,41,60,73.8330108000082,75.46756039999309,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
29,32,53,55,0,5,5,5,,,,,,,,,,,None,75.46756039999309,75.46756039999309,75.46756039999309,75.46756039999309,75.46756039999309,75.46756039999309,f,0.6481884999957401,76.13505949999671,76.13505949999671,76.13505949999671,76.13505949999671,76.13505949999671,76.13505949999671,76.4341182000062,78.35162780000246,78.35162780000246,78.35162780000246,78.35162780000246,78.35162780000246,78.35162780000246,78.35162780000246,78.35162780000246,78.35162780000246,78.35162780000246,78.35162780000246,78.35162780000246,78.35162780000246,78.35162780000246,80.56513609999092,80.56513609999092,80.56513609999092,80.56513609999092,80.56513609999092,80.56513609999092,80.56513609999092,55,53,32,29,55,60,80.56513609999092,82.39941750001162,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
30,33,47,54,0,6,6,6,,,,,,,,,,,None,82.39941750001162,82.39941750001162,82.39941750001162,82.39941750001162,82.39941750001162,82.39941750001162,r,0.5956554000149481,83.01882319999277,83.01882319999277,83.01882319999277,83.01882319999277,83.01882319999277,83.01882319999277,83.31612619999214,84.93262140001752,84.93262140001752,84.93262140001752,84.93262140001752,84.93262140001752,84.93262140001752,84.93262140001752,84.93262140001752,84.93262140001752,84.93262140001752,84.93262140001752,84.93262140001752,84.93262140001752,84.93262140001752,86.84762479999335,86.84762479999335,86.84762479999335,86.84762479999335,86.84762479999335,86.84762479999335,86.84762479999335,54,47,33,30,47,60,86.84762479999335,88.76525220001349,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
33,38,39,52,0,7,7,7,,,,,,,,,,,None,88.76525220001349,88.76525220001349,88.76525220001349,88.76525220001349,88.76525220001349,88.76525220001349,f,0.4883818000089377,89.28585580000072,89.28585580000072,89.28585580000072,89.28585580000072,89.28585580000072,89.28585580000072,89.58191199999419,91.43112339999061,91.43112339999061,91.43112339999061,91.43112339999061,91.43112339999061,91.43112339999061,91.43112339999061,91.43112339999061,91.43112339999061,91.43112339999061,91.43112339999061,91.43112339999061,91.43112339999061,91.43112339999061,93.57917430001544,93.57917430001544,93.57917430001544,93.57917430001544,93.57917430001544,93.57917430001544,93.57917430001544,52,39,38,33,52,60,93.57917430001544,95.43067000000156,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
24,46,52,56,0,8,8,8,,,,,,,,,,,None,95.43067000000156,95.43067000000156,95.43067000000156,95.43067000000156,95.43067000000156,95.43067000000156,f,0.5291419000132009,95.9856274999911,95.9856274999911,95.9856274999911,95.9856274999911,95.9856274999911,95.9856274999911,96.28037079999922,97.76352480001515,97.78031410000403,97.78031410000403,97.78031410000403,97.78031410000403,97.78031410000403,97.78031410000403,97.78031410000403,97.78031410000403,97.78031410000403,97.78031410000403,97.78031410000403,97.78031410000403,97.78031410000403,99.56145350000588,99.56145350000588,99.56145350000588,99.56145350000588,99.56145350000588,99.56145350000588,99.56145350000588,56,52,46,24,56,60,99.56145350000588,101.46297570000752,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
