arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,bigx.started,bigx.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,28.412188800022705,28.412188800022705,space,4.146125300001586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
29,37,64,55,0,0,0,0,,,,,32.57642040000064,32.57642040000064,37.57602239999687,37.57602239999687,37.57602239999687,38.577994899998885,None,38.577994899998885,38.577994899998885,38.577994899998885,38.577994899998885,38.577994899998885,38.577994899998885,j,0.4276609999942593,39.03298780001933,39.03298780001933,39.03298780001933,39.03298780001933,39.03298780001933,39.03298780001933,39.33849110000301,40.82609690001118,40.82609690001118,40.82609690001118,40.82609690001118,40.82609690001118,40.82609690001118,40.82609690001118,40.82609690001118,40.82609690001118,40.82609690001118,40.82609690001118,40.82609690001118,40.82609690001118,40.82609690001118,42.63664520002203,42.63664520002203,42.63664520002203,42.63664520002203,42.63664520002203,42.63664520002203,42.63664520002203,37,64,29,55,55,70,42.63664520002203,44.625670400011586,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
34,49,68,59,0,1,1,1,,,,,,,,,,,None,44.625670400011586,44.625670400011586,44.625670400011586,44.625670400011586,44.625670400011586,44.625670400011586,i,1.0877041000057943,45.74273740002536,45.74273740002536,45.74273740002536,45.74273740002536,45.74273740002536,45.74273740002536,46.02583830000367,47.97528330000932,47.97528330000932,47.97528330000932,47.97528330000932,47.97528330000932,47.97528330000932,47.958942400000524,47.97528330000932,47.97528330000932,47.97528330000932,47.97528330000932,47.97528330000932,47.97528330000932,47.97528330000932,50.206964000011794,50.206964000011794,50.206964000011794,50.206964000011794,50.206964000011794,50.206964000011794,50.206964000011794,49,68,34,59,34,70,50.206964000011794,51.82424680000986,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
30,39,58,51,0,2,2,2,,,,,,,,,,,None,51.82424680000986,51.82424680000986,51.82424680000986,51.82424680000986,51.82424680000986,51.82424680000986,j,0.36449129998800345,52.20851280001807,52.20851280001807,52.20851280001807,52.20851280001807,52.20851280001807,52.20851280001807,52.49131490002037,54.407765900017694,54.407765900017694,54.407765900017694,54.407765900017694,54.407765900017694,54.407765900017694,54.391387900017435,54.407765900017694,54.407765900017694,54.407765900017694,54.407765900017694,54.407765900017694,54.407765900017694,54.407765900017694,56.605382300011115,56.605382300011115,56.605382300011115,56.605382300011115,56.605382300011115,56.605382300011115,56.605382300011115,39,58,30,51,51,70,56.605382300011115,58.456989600003,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
32,43,54,72,0,3,3,3,,,,,,,,,,,None,58.456989600003,58.456989600003,58.456989600003,58.456989600003,58.456989600003,58.456989600003,f,1.2675292000058107,59.759321700024884,59.759321700024884,59.759321700024884,59.759321700024884,59.759321700024884,59.759321700024884,60.04012540000258,61.17343570000958,61.17343570000958,61.17343570000958,61.17343570000958,61.17343570000958,61.17343570000958,61.15669280002476,61.17343570000958,61.17343570000958,61.17343570000958,61.17343570000958,61.17343570000958,61.17343570000958,61.17343570000958,62.587729100021534,62.587729100021534,62.587729100021534,62.587729100021534,62.587729100021534,62.587729100021534,62.587729100021534,43,54,32,72,43,70,62.587729100021534,64.272844000021,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
28,36,49,61,0,4,4,4,,,,,,,,,,,None,64.272844000021,64.272844000021,64.272844000021,64.272844000021,64.272844000021,64.272844000021,i,0.956722400005674,65.25609480001731,65.25609480001731,65.25609480001731,65.25609480001731,65.25609480001731,65.25609480001731,65.53960030002054,67.12200380000286,67.12200380000286,67.12200380000286,67.12200380000286,67.12200380000286,67.12200380000286,67.10559730001842,67.12200380000286,67.12200380000286,67.12200380000286,67.12200380000286,67.12200380000286,67.12200380000286,67.12200380000286,68.987077400001,68.987077400001,68.987077400001,68.987077400001,68.987077400001,68.987077400001,68.987077400001,36,49,28,61,28,70,68.987077400001,70.52177230000962,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
20,39,51,62,0,5,5,5,,,,,,,,,,,None,70.52177230000962,70.52177230000962,70.52177230000962,70.52177230000962,70.52177230000962,70.52177230000962,f,0.36547290001180954,70.90527740001562,70.90527740001562,70.90527740001562,70.90527740001562,70.90527740001562,70.90527740001562,71.18817390000913,73.18770470001618,73.18770470001618,73.18770470001618,73.18770470001618,73.18770470001618,73.18770470001618,73.17125060001854,73.18770470001618,73.18770470001618,73.18770470001618,73.18770470001618,73.18770470001618,73.18770470001618,73.18770470001618,75.46962230000645,75.46962230000645,75.46962230000645,75.46962230000645,75.46962230000645,75.46962230000645,75.46962230000645,39,51,20,62,39,70,75.46962230000645,77.3205231000029,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
28,35,39,56,0,6,6,6,,,,,,,,,,,None,77.3205231000029,77.3205231000029,77.3205231000029,77.3205231000029,77.3205231000029,77.3205231000029,r,0.42641300000832416,77.77237370001967,77.77237370001967,77.77237370001967,77.77237370001967,77.77237370001967,77.77237370001967,78.05419740002253,79.53719860001002,79.53719860001002,79.53719860001002,79.53719860001002,79.53719860001002,79.53719860001002,79.52029430001858,79.53719860001002,79.53719860001002,79.53719860001002,79.53719860001002,79.53719860001002,79.53719860001002,79.53719860001002,81.30140570001095,81.30140570001095,81.30140570001095,81.30140570001095,81.30140570001095,81.30140570001095,81.30140570001095,35,39,28,56,39,70,81.30140570001095,83.10220850000042,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
21,32,45,67,0,7,7,7,,,,,,,,,,,None,83.10220850000042,83.10220850000042,83.10220850000042,83.10220850000042,83.10220850000042,83.10220850000042,j,0.6761780999950133,83.80614369999967,83.80614369999967,83.80614369999967,83.80614369999967,83.80614369999967,83.80614369999967,84.10285370002384,84.95216610000352,84.95216610000352,84.95216610000352,84.95216610000352,84.95216610000352,84.95216610000352,84.95216610000352,84.95216610000352,84.95216610000352,84.95216610000352,84.95216610000352,84.95216610000352,84.95216610000352,84.95216610000352,86.10066830000142,86.10066830000142,86.10066830000142,86.10066830000142,86.10066830000142,86.10066830000142,86.10066830000142,32,45,21,67,67,70,86.10066830000142,87.63525260001188,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
23,30,53,61,0,8,8,8,,,,,,,,,,,None,87.63525260001188,87.63525260001188,87.63525260001188,87.63525260001188,87.63525260001188,87.63525260001188,i,1.000330099981511,88.6690135000099,88.6690135000099,88.6690135000099,88.6690135000099,88.6690135000099,88.6690135000099,88.95223130000522,90.11826490002568,90.11826490002568,90.11826490002568,90.11826490002568,90.11826490002568,90.11826490002568,90.10153140002512,90.11826490002568,90.11826490002568,90.11826490002568,90.11826490002568,90.11826490002568,90.11826490002568,90.11826490002568,91.5661721000215,91.5661721000215,91.5661721000215,91.5661721000215,91.5661721000215,91.5661721000215,91.5661721000215,30,53,23,61,23,70,91.5661721000215,93.55056900001364,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
