arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.43286580001586,18.43286580001586,space,21.97570400001132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
29,37,53,62,0,0,0,0,,,,,40.43234300002223,40.43234300002223,45.432460600015474,45.432460600015474,45.432460600015474,46.434616100013955,None,46.434616100013955,46.434616100013955,46.434616100013955,46.434616100013955,46.434616100013955,46.434616100013955,i,0.3885561999923084,46.85921180000878,46.85921180000878,46.85921180000878,46.85921180000878,46.85921180000878,46.85921180000878,47.15024460002314,48.41694250001456,48.41694250001456,48.41694250001456,48.41694250001456,48.41694250001456,48.41694250001456,48.41694250001456,48.41694250001456,48.41694250001456,48.41694250001456,48.41694250001456,48.41694250001456,48.41694250001456,48.41694250001456,50.026825200009625,50.026825200009625,50.026825200009625,50.026825200009625,50.026825200009625,50.026825200009625,50.026825200009625,37,53,29,62,29,60,50.026825200009625,51.815351099998225,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
46,36,65,66,0,1,1,1,,,,,,,,,,,None,51.815351099998225,51.815351099998225,51.815351099998225,51.815351099998225,51.815351099998225,51.815351099998225,j,0.4515825999842491,52.30349300001399,52.30349300001399,52.30349300001399,52.30349300001399,52.30349300001399,52.30349300001399,52.59922689999803,53.89849350001896,53.89849350001896,53.89849350001896,53.89849350001896,53.89849350001896,53.89849350001896,53.89849350001896,53.89849350001896,53.89849350001896,53.89849350001896,53.89849350001896,53.89849350001896,53.89849350001896,53.89849350001896,55.49672369999462,55.49672369999462,55.49672369999462,55.49672369999462,55.49672369999462,55.49672369999462,55.49672369999462,36,65,46,66,66,60,55.49672369999462,57.430806999997,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
41,44,44,68,0,2,2,2,,,,,,,,,,,None,57.430806999997,57.430806999997,57.430806999997,57.430806999997,57.430806999997,57.430806999997,r,0.3186721999954898,57.781473300012294,57.781473300012294,57.781473300012294,57.781473300012294,57.781473300012294,57.781473300012294,58.06428839999717,59.24755749999895,59.24755749999895,59.24755749999895,59.24755749999895,59.24755749999895,59.24755749999895,59.231461400020635,59.24755749999895,59.24755749999895,59.24755749999895,59.24755749999895,59.24755749999895,59.24755749999895,59.24755749999895,60.71249080001144,60.71249080001144,60.71249080001144,60.71249080001144,60.71249080001144,60.71249080001144,60.71249080001144,44,44,41,68,44,60,60.71249080001144,62.44692830002168,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
36,44,58,72,0,3,3,3,,,,,,,,,,,None,62.44692830002168,62.44692830002168,62.44692830002168,62.44692830002168,62.44692830002168,62.44692830002168,f,0.30310399999143556,62.780573700001696,62.780573700001696,62.780573700001696,62.780573700001696,62.780573700001696,62.780573700001696,63.0643737000064,64.71365040002274,64.71365040002274,64.71365040002274,64.71365040002274,64.71365040002274,64.71365040002274,64.71365040002274,64.71365040002274,64.71365040002274,64.71365040002274,64.71365040002274,64.71365040002274,64.71365040002274,64.71365040002274,66.64475989999482,66.64475989999482,66.64475989999482,66.64475989999482,66.64475989999482,66.64475989999482,66.64475989999482,44,58,36,72,44,60,66.64475989999482,68.37909440000658,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
42,41,54,69,0,4,4,4,,,,,,,,,,,None,68.37909440000658,68.37909440000658,68.37909440000658,68.37909440000658,68.37909440000658,68.37909440000658,j,0.29601069999625906,68.69699170000968,68.69699170000968,68.69699170000968,68.69699170000968,68.69699170000968,68.69699170000968,68.97963960000197,70.11282890001894,70.11282890001894,70.11282890001894,70.11282890001894,70.11282890001894,70.11282890001894,70.09642070002155,70.11282890001894,70.11282890001894,70.11282890001894,70.11282890001894,70.11282890001894,70.11282890001894,70.11282890001894,71.52749340000446,71.52749340000446,71.52749340000446,71.52749340000446,71.52749340000446,71.52749340000446,71.52749340000446,41,54,42,69,69,60,71.52749340000446,73.26157400000375,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
43,49,50,71,0,5,5,5,,,,,,,,,,,None,73.26157400000375,73.26157400000375,73.26157400000375,73.26157400000375,73.26157400000375,73.26157400000375,j,0.3208654999907594,73.61223870000686,73.61223870000686,73.61223870000686,73.61223870000686,73.61223870000686,73.61223870000686,73.89536210001097,74.94645450002281,74.94645450002281,74.94645450002281,74.94645450002281,74.94645450002281,74.94645450002281,74.9287592000037,74.94645450002281,74.94645450002281,74.94645450002281,74.94645450002281,74.94645450002281,74.94645450002281,74.94645450002281,76.27676160002011,76.27676160002011,76.27676160002011,76.27676160002011,76.27676160002011,76.27676160002011,76.27676160002011,49,50,43,71,71,60,76.27676160002011,78.07762510000612,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
39,45,52,66,0,6,6,6,,,,,,,,,,,None,78.07762510000612,78.07762510000612,78.07762510000612,78.07762510000612,78.07762510000612,78.07762510000612,j,0.27514870002050884,78.37805960001424,78.37805960001424,78.37805960001424,78.37805960001424,78.37805960001424,78.37805960001424,78.6615376000118,80.4943440000061,80.4943440000061,80.4943440000061,80.4943440000061,80.4943440000061,80.4943440000061,80.4777052999998,80.4943440000061,80.4943440000061,80.4943440000061,80.4943440000061,80.4943440000061,80.4943440000061,80.4943440000061,82.608724300022,82.608724300022,82.608724300022,82.608724300022,82.608724300022,82.608724300022,82.608724300022,45,52,39,66,66,60,82.608724300022,84.44333540002117,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
44,45,42,64,0,7,7,7,,,,,,,,,,,None,84.44333540002117,84.44333540002117,84.44333540002117,84.44333540002117,84.44333540002117,84.44333540002117,j,0.36207519998424686,84.82705400002305,84.82705400002305,84.82705400002305,84.82705400002305,84.82705400002305,84.82705400002305,85.12672260002,86.25995840001269,86.25995840001269,86.25995840001269,86.25995840001269,86.25995840001269,86.25995840001269,86.25995840001269,86.25995840001269,86.25995840001269,86.25995840001269,86.25995840001269,86.25995840001269,86.25995840001269,86.25995840001269,87.69118860000162,87.69118860000162,87.69118860000162,87.69118860000162,87.69118860000162,87.69118860000162,87.69118860000162,45,42,44,64,64,60,87.69118860000162,89.64207329999772,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
43,40,42,66,0,8,8,8,,,,,,,,,,,None,89.64207329999772,89.64207329999772,89.64207329999772,89.64207329999772,89.64207329999772,89.64207329999772,j,0.2756400999787729,89.94343770001433,89.94343770001433,89.94343770001433,89.94343770001433,89.94343770001433,89.94343770001433,90.24220280000009,92.07535850000568,92.07535850000568,92.07535850000568,92.07535850000568,92.07535850000568,92.07535850000568,92.07535850000568,92.07535850000568,92.07535850000568,92.07535850000568,92.07535850000568,92.07535850000568,92.07535850000568,92.07535850000568,94.20719899999676,94.20719899999676,94.20719899999676,94.20719899999676,94.20719899999676,94.20719899999676,94.20719899999676,40,42,43,66,66,60,94.20719899999676,96.20767170001636,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
