arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.59395450001466,11.59395450001466,space,7.164578600000823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
26,48,57,68,0,0,0,0,,,,,18.77734810000402,18.77734810000402,23.777114500000607,23.777114500000607,23.777114500000607,24.78024429999641,None,24.78024429999641,24.78024429999641,24.78024429999641,24.78024429999641,24.78024429999641,24.78024429999641,j,0.382293300004676,25.199480000010226,25.199480000010226,25.199480000010226,25.199480000010226,25.199480000010226,25.199480000010226,25.478185300016776,26.877673000009963,26.895739800005686,26.895739800005686,26.895739800005686,26.895739800005686,26.895739800005686,26.895739800005686,26.895739800005686,26.895739800005686,26.895739800005686,26.895739800005686,26.895739800005686,26.895739800005686,26.895739800005686,28.641368500015233,28.641368500015233,28.641368500015233,28.641368500015233,28.641368500015233,28.641368500015233,28.641368500015233,57,68,48,26,26,60,28.641368500015233,30.56055419999757,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
30,53,55,68,0,1,1,1,,,,,,,,,,,None,30.56055419999757,30.56055419999757,30.56055419999757,30.56055419999757,30.56055419999757,30.56055419999757,f,0.2933660999988206,30.879039299994474,30.879039299994474,30.879039299994474,30.879039299994474,30.879039299994474,30.879039299994474,31.177451499999734,32.293811100011226,32.293811100011226,32.293811100011226,32.293811100011226,32.293811100011226,32.293811100011226,32.293811100011226,32.293811100011226,32.293811100011226,32.293811100011226,32.293811100011226,32.293811100011226,32.293811100011226,32.293811100011226,33.708619100012584,33.708619100012584,33.708619100012584,33.708619100012584,33.708619100012584,33.708619100012584,33.708619100012584,55,68,53,30,55,60,33.708619100012584,35.592880800017156,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
35,64,55,75,0,2,2,2,,,,,,,,,,,None,35.592880800017156,35.592880800017156,35.592880800017156,35.592880800017156,35.592880800017156,35.592880800017156,r,0.29282649999368005,35.910408600000665,35.910408600000665,35.910408600000665,35.910408600000665,35.910408600000665,35.910408600000665,36.193248600000516,38.159528899996076,38.176133700006176,38.176133700006176,38.176133700006176,38.176133700006176,38.176133700006176,38.176133700006176,38.176133700006176,38.176133700006176,38.176133700006176,38.176133700006176,38.176133700006176,38.176133700006176,38.176133700006176,40.44080720000784,40.44080720000784,40.44080720000784,40.44080720000784,40.44080720000784,40.44080720000784,40.44080720000784,55,75,64,35,75,60,40.44080720000784,42.275602900015656,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
33,55,52,70,0,3,3,3,,,,,,,,,,,None,42.275602900015656,42.275602900015656,42.275602900015656,42.275602900015656,42.275602900015656,42.275602900015656,i,0.2629319000116084,42.56305630001589,42.56305630001589,42.56305630001589,42.56305630001589,42.56305630001589,42.56305630001589,42.85861200001091,44.208653400011826,44.208653400011826,44.208653400011826,44.208653400011826,44.208653400011826,44.208653400011826,44.208653400011826,44.208653400011826,44.208653400011826,44.208653400011826,44.208653400011826,44.208653400011826,44.208653400011826,44.208653400011826,45.85666580000543,45.85666580000543,45.85666580000543,45.85666580000543,45.85666580000543,45.85666580000543,45.85666580000543,52,70,55,33,55,60,45.85666580000543,47.54059380001854,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
31,53,49,67,0,4,4,4,,,,,,,,,,,None,47.54059380001854,47.54059380001854,47.54059380001854,47.54059380001854,47.54059380001854,47.54059380001854,f,0.32780080000520684,47.893800899997586,47.893800899997586,47.893800899997586,47.893800899997586,47.893800899997586,47.893800899997586,48.17437350002001,49.024778099992545,49.040561500005424,49.040561500005424,49.040561500005424,49.040561500005424,49.040561500005424,49.040561500005424,49.040561500005424,49.040561500005424,49.040561500005424,49.040561500005424,49.040561500005424,49.040561500005424,49.040561500005424,50.18908390001161,50.18908390001161,50.18908390001161,50.18908390001161,50.18908390001161,50.18908390001161,50.18908390001161,49,67,53,31,49,60,50.18908390001161,52.123548900010064,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
24,65,53,61,0,5,5,5,,,,,,,,,,,None,52.123548900010064,52.123548900010064,52.123548900010064,52.123548900010064,52.123548900010064,52.123548900010064,f,0.34046949999174103,52.49084720000974,52.49084720000974,52.49084720000974,52.49084720000974,52.49084720000974,52.49084720000974,52.77341769999475,54.389852299995255,54.4062794999918,54.4062794999918,54.4062794999918,54.4062794999918,54.4062794999918,54.4062794999918,54.4062794999918,54.4062794999918,54.4062794999918,54.4062794999918,54.4062794999918,54.4062794999918,54.4062794999918,56.32137170000351,56.32137170000351,56.32137170000351,56.32137170000351,56.32137170000351,56.32137170000351,56.32137170000351,53,61,65,24,53,60,56.32137170000351,58.188763300015125,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
12,58,47,67,0,6,6,6,,,,,,,,,,,None,58.188763300015125,58.188763300015125,58.188763300015125,58.188763300015125,58.188763300015125,58.188763300015125,r,0.27740629998152144,58.490812100004405,58.490812100004405,58.490812100004405,58.490812100004405,58.490812100004405,58.490812100004405,58.78938130001188,59.72259170000325,59.72259170000325,59.72259170000325,59.72259170000325,59.72259170000325,59.72259170000325,59.72259170000325,59.72259170000325,59.72259170000325,59.72259170000325,59.72259170000325,59.72259170000325,59.72259170000325,59.72259170000325,60.95395270001609,60.95395270001609,60.95395270001609,60.95395270001609,60.95395270001609,60.95395270001609,60.95395270001609,47,67,58,12,67,60,60.95395270001609,62.67206710000755,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
19,65,54,62,0,7,7,7,,,,,,,,,,,None,62.67206710000755,62.67206710000755,62.67206710000755,62.67206710000755,62.67206710000755,62.67206710000755,r,0.3788811000122223,63.07345300001907,63.07345300001907,63.07345300001907,63.07345300001907,63.07345300001907,63.07345300001907,63.37160640000366,64.22124220000114,64.22124220000114,64.22124220000114,64.22124220000114,64.22124220000114,64.22124220000114,64.22124220000114,64.22124220000114,64.22124220000114,64.22124220000114,64.22124220000114,64.22124220000114,64.22124220000114,64.22124220000114,65.36986550001893,65.36986550001893,65.36986550001893,65.36986550001893,65.36986550001893,65.36986550001893,65.36986550001893,54,62,65,19,62,60,65.36986550001893,66.88751850000699,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
31,66,47,65,0,8,8,8,,,,,,,,,,,None,66.88751850000699,66.88751850000699,66.88751850000699,66.88751850000699,66.88751850000699,66.88751850000699,r,0.30689589999383315,67.22127280000132,67.22127280000132,67.22127280000132,67.22127280000132,67.22127280000132,67.22127280000132,67.52101630001562,68.90435650001746,68.90435650001746,68.90435650001746,68.90435650001746,68.90435650001746,68.90435650001746,68.90435650001746,68.90435650001746,68.90435650001746,68.90435650001746,68.90435650001746,68.90435650001746,68.90435650001746,68.90435650001746,70.58552059999784,70.58552059999784,70.58552059999784,70.58552059999784,70.58552059999784,70.58552059999784,70.58552059999784,47,65,66,31,65,60,70.58552059999784,72.16998390000663,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
