arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,40.09659939998528,40.09659939998528,space,17.232418400002643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
25,48,67,59,0,0,0,0,,,,,57.35973189998185,57.35973189998185,62.37317129998701,None,63.37751339998795,63.37751339998795,63.37751339998795,63.37751339998795,63.37751339998795,63.37751339998795,j,0.32180330000119284,63.72863279999001,63.72863279999001,63.72863279999001,63.72863279999001,63.72863279999001,63.72863279999001,64.00786549999611,65.14114629998221,65.17467429998214,65.17467429998214,65.17467429998214,65.17467429998214,65.17467429998214,65.17467429998214,65.17467429998214,65.17467429998214,65.17467429998214,65.17467429998214,65.17467429998214,65.17467429998214,65.17467429998214,66.6541969999962,66.6541969999962,66.6541969999962,66.6541969999962,66.6541969999962,66.6541969999962,66.6541969999962,25,59,67,48,48,60,66.6541969999962,68.29040309999255,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
32,46,44,65,0,1,1,1,,,,,,,,None,68.29040309999255,68.29040309999255,68.29040309999255,68.29040309999255,68.29040309999255,68.29040309999255,r,0.42260399999213405,68.74207769997884,68.74207769997884,68.74207769997884,68.74207769997884,68.74207769997884,68.74207769997884,69.02359749999596,70.0065498999902,70.02308189999894,70.02308189999894,70.02308189999894,70.02308189999894,70.02308189999894,70.02308189999894,70.02308189999894,70.02308189999894,70.02308189999894,70.02308189999894,70.02308189999894,70.02308189999894,70.02308189999894,71.30479549997835,71.30479549997835,71.30479549997835,71.30479549997835,71.30479549997835,71.30479549997835,71.30479549997835,32,65,44,46,65,60,71.30479549997835,73.18930599998566,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
27,49,40,68,0,2,2,2,,,,,,,,None,73.18930599998566,73.18930599998566,73.18930599998566,73.18930599998566,73.18930599998566,73.18930599998566,r,0.44541869999375194,73.65713169999071,73.65713169999071,73.65713169999071,73.65713169999071,73.65713169999071,73.65713169999071,73.95630699998583,75.10543169997982,75.10543169997982,75.10543169997982,75.10543169997982,75.10543169997982,75.10543169997982,75.10543169997982,75.10543169997982,75.10543169997982,75.10543169997982,75.10543169997982,75.10543169997982,75.10543169997982,75.10543169997982,76.55423929999233,76.55423929999233,76.55423929999233,76.55423929999233,76.55423929999233,76.55423929999233,76.55423929999233,27,68,40,49,68,60,76.55423929999233,78.3717115999898,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
25,41,46,62,0,3,3,3,,,,,,,,None,78.3717115999898,78.3717115999898,78.3717115999898,78.3717115999898,78.3717115999898,78.3717115999898,f,0.2650382999854628,78.65676339998026,78.65676339998026,78.65676339998026,78.65676339998026,78.65676339998026,78.65676339998026,78.9555063000007,80.17121529998258,80.17121529998258,80.17121529998258,80.17121529998258,80.17121529998258,80.17121529998258,80.17121529998258,80.17121529998258,80.17121529998258,80.17121529998258,80.17121529998258,80.17121529998258,80.17121529998258,80.17121529998258,81.66978379999637,81.66978379999637,81.66978379999637,81.66978379999637,81.66978379999637,81.66978379999637,81.66978379999637,25,62,46,41,25,60,81.66978379999637,83.22070659999736,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
26,54,39,58,0,4,4,4,,,,,,,,None,83.22070659999736,83.22070659999736,83.22070659999736,83.22070659999736,83.22070659999736,83.22070659999736,j,0.6059111000213306,83.85541839999496,83.85541839999496,83.85541839999496,83.85541839999496,83.85541839999496,83.85541839999496,84.15409559998079,85.40365809999639,85.40365809999639,85.40365809999639,85.40365809999639,85.40365809999639,85.40365809999639,85.40365809999639,85.40365809999639,85.40365809999639,85.40365809999639,85.40365809999639,85.40365809999639,85.40365809999639,85.40365809999639,86.95199010000215,86.95199010000215,86.95199010000215,86.95199010000215,86.95199010000215,86.95199010000215,86.95199010000215,26,58,39,54,54,60,86.95199010000215,88.70317920000525,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
30,57,50,61,0,5,5,5,,,,,,,,None,88.70317920000525,88.70317920000525,88.70317920000525,88.70317920000525,88.70317920000525,88.70317920000525,i,0.2990986999939196,89.02212519999011,89.02212519999011,89.02212519999011,89.02212519999011,89.02212519999011,89.02212519999011,89.32021509998594,90.8693581999978,90.8693581999978,90.8693581999978,90.8693581999978,90.8693581999978,90.8693581999978,90.8693581999978,90.8693581999978,90.8693581999978,90.8693581999978,90.8693581999978,90.8693581999978,90.8693581999978,90.8693581999978,92.7175658000051,92.7175658000051,92.7175658000051,92.7175658000051,92.7175658000051,92.7175658000051,92.7175658000051,30,61,50,57,50,60,92.7175658000051,94.55234019999625,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
28,50,44,64,0,6,6,6,,,,,,,,None,94.55234019999625,94.55234019999625,94.55234019999625,94.55234019999625,94.55234019999625,94.55234019999625,r,0.34306630000355653,94.91971479999484,94.91971479999484,94.91971479999484,94.91971479999484,94.91971479999484,94.91971479999484,95.20224799998687,96.76886389998253,96.78532880000421,96.78532880000421,96.78532880000421,96.78532880000421,96.78532880000421,96.78532880000421,96.78532880000421,96.78532880000421,96.78532880000421,96.78532880000421,96.78532880000421,96.78532880000421,96.78532880000421,98.64996779998182,98.64996779998182,98.64996779998182,98.64996779998182,98.64996779998182,98.64996779998182,98.64996779998182,28,64,44,50,64,60,98.64996779998182,100.56798599998001,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
24,50,40,68,0,7,7,7,,,,,,,,None,100.56798599998001,100.56798599998001,100.56798599998001,100.56798599998001,100.56798599998001,100.56798599998001,j,0.3518266000028234,100.95568630000344,100.95568630000344,100.95568630000344,100.95568630000344,100.95568630000344,100.95568630000344,101.234592599998,103.11750439999742,103.13408459999482,103.13408459999482,103.13408459999482,103.13408459999482,103.13408459999482,103.13408459999482,103.13408459999482,103.13408459999482,103.13408459999482,103.13408459999482,103.13408459999482,103.13408459999482,103.13408459999482,105.31547599998885,105.31547599998885,105.31547599998885,105.31547599998885,105.31547599998885,105.31547599998885,105.31547599998885,24,68,40,50,50,60,105.31547599998885,106.96685409999918,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
28,50,52,64,0,8,8,8,,,,,,,,None,106.96685409999918,106.96685409999918,106.96685409999918,106.96685409999918,106.96685409999918,106.96685409999918,r,0.4554043999814894,107.45183119998546,107.45183119998546,107.45183119998546,107.45183119998546,107.45183119998546,107.45183119998546,107.74980069999583,108.9997391999932,108.9997391999932,108.9997391999932,108.9997391999932,108.9997391999932,108.9997391999932,108.9997391999932,108.9997391999932,108.9997391999932,108.9997391999932,108.9997391999932,108.9997391999932,108.9997391999932,108.9997391999932,110.5480508999899,110.5480508999899,110.5480508999899,110.5480508999899,110.5480508999899,110.5480508999899,110.5480508999899,28,64,52,50,64,60,110.5480508999899,112.3990116000059,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
