arm1,arm2,arm3,arm4
45,45,60,56
42,40,57,48
47,49,66,63
55,46,67,51
43,42,63,51
41,46,63,57
45,43,63,58
46,49,65,55
52,51,66,56
45,63,70,53
43,59,63,56
45,62,69,55
40,64,70,55
45,58,70,61
43,63,61,54
53,64,67,59
42,54,78,53
51,59,77,60
41,53,67,57
49,59,74,64
48,58,69,43
51,57,79,56
45,66,84,45
33,58,79,58
39,56,80,48
45,64,77,50
35,71,75,58
30,61,78,61
37,61,86,56
41,62,82,45
42,51,85,56
40,61,81,57
45,64,79,52
39,61,82,45
32,59,79,46
29,72,77,41
20,70,83,47
23,63,80,55
34,65,92,57
38,55,80,51
36,56,78,53
36,59,83,53
30,68,88,55
27,59,85,50
31,70,80,52
32,72,73,60
33,70,82,57
39,66,84,61
46,63,75,62
50,66,72,57
46,62,74,58
56,63,81,57
51,61,72,56
42,64,81,50
54,56,75,46
50,53,81,48
62,58,84,47
50,55,75,45
58,51,70,39
54,59,74,45
52,52,70,36
54,65,76,42
43,55,79,36
53,57,72,42
43,45,70,31
49,38,70,34
41,45,59,28
50,48,66,30
43,43,66,27
45,45,67,22
44,46,66,24
41,55,63,20
43,48,68,28
49,50,66,23
42,57,62,21
40,43,65,24
46,43,62,13
40,56,55,14
40,51,55,15
42,48,64,19
30,57,52,19
41,66,57,18
33,66,61,16
32,60,60,29
31,67,48,32
33,57,58,24
32,61,55,21
35,60,55,29
35,62,57,30
39,50,52,32
38,55,50,27
43,53,49,28
44,50,40,20
44,44,49,29
51,48,56,33
51,49,52,28
49,49,52,35
48,50,44,40
45,45,47,34
47,46,49,38
47,43,44,26
44,49,36,29
50,49,38,32
54,58,38,28
52,48,32,42
57,51,36,36
49,52,44,37
46,49,39,40
52,43,41,36
56,37,39,45
51,34,36,40
51,46,48,53
60,40,46,45
61,41,48,49
54,42,49,39
68,39,56,37
62,36,52,31
55,40,47,43
51,40,48,45
57,42,47,48
57,32,60,45
62,40,45,40
54,34,43,43
58,30,54,47
48,26,43,37
57,37,42,36
52,24,44,47
47,30,38,35
45,27,41,33
60,23,40,38
55,18,41,39
68,14,37,43
59,21,38,27
63,29,40,37
46,30,41,40
57,26,46,34
43,26,43,37
52,25,42,34
59,28,43,35
65,34,42,37
66,31,40,26
61,29,31,28
52,26,38,30
55,28,36,37
53,29,36,34
50,26,32,42
48,20,40,40
57,30,40,42
48,27,42,29
57,31,35,27
