,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
beta[1],0.154691863,0.000157813,0.022686435,0.111390769,0.139161273,0.154042484,0.169836194,0.200428834,20665.51971,0.999985662
beta[2],0.033687713,0.000123468,0.014241961,0.007040543,0.023657829,0.033425104,0.043144732,0.062546302,13305.57895,0.999952466
beta[3],0.124434559,0.000129404,0.018119631,0.090967096,0.111711189,0.123826407,0.136242687,0.162164858,19606.75247,0.999850328
beta[4],0.054983028,5.49E-05,0.007488315,0.041024829,0.049847129,0.054704817,0.05989506,0.070258361,18594.84195,1.000039794
beta[5],0.158301293,0.000150874,0.021776535,0.118966635,0.142999719,0.15716436,0.172526304,0.20421203,20832.77261,0.999991367
beta[6],0.067777045,8.72E-05,0.011452761,0.04648546,0.059787917,0.067319162,0.075191786,0.091553161,17256.6236,0.999869004
beta[7],0.125439906,0.000128161,0.018062853,0.09210891,0.113035704,0.124771602,0.137395594,0.162495375,19863.62603,0.999914374
beta[8],0.20060346,0.00022903,0.03276303,0.140727681,0.177830259,0.198656835,0.221897401,0.268908078,20463.69194,0.999924618
beta[9],0.394806318,0.000421946,0.056707284,0.292767639,0.35526521,0.39134817,0.430906804,0.51406559,18061.96254,0.99987314
beta[10],0.164347489,0.000172326,0.022786579,0.123829906,0.148276431,0.163038281,0.179097246,0.212866554,17484.66457,1.000082839
beta[1],0.114473898,0.000127193,0.016202118,0.084304054,0.103241445,0.113947082,0.124963757,0.147842077,16226.13772,0.999842344
beta[2],0.140731391,0.00013114,0.019690221,0.104537846,0.126968734,0.139978268,0.153575991,0.181680493,22544.00363,1.000038047
beta[3],0.13579074,0.000140873,0.019969322,0.097418736,0.122105434,0.135466493,0.14906184,0.175746043,20094.33764,0.9999053
beta[4],0.125408021,0.000137605,0.018489926,0.090667466,0.112724753,0.124920068,0.137523724,0.163036119,18055.06613,1.000166271
beta[5],0.216694398,0.000214081,0.029235784,0.162194068,0.196478456,0.215592457,0.235571705,0.277269542,18649.80941,1.000147849
beta[6],0.148466051,0.000137139,0.021864995,0.108122222,0.133418022,0.147776207,0.16267531,0.193770556,25419.92012,0.999920582
beta[7],0.131083323,0.000161669,0.026919846,0.081508692,0.112668331,0.129795654,0.148036643,0.187798389,27726.24463,0.999905893
beta[8],0.022174028,8.08E-05,0.009899993,0.00396305,0.015082949,0.021827561,0.028817058,0.042235969,15021.88965,1.000652832
beta[9],0.133632749,0.000133344,0.020107156,0.096963692,0.119543317,0.132820539,0.146756645,0.175235088,22738.06547,0.999903027
beta[10],0.072770372,5.65E-05,0.009778971,0.054250508,0.066051469,0.072462058,0.079190824,0.092560178,29930.39093,0.999930165
beta[11],0.09870165,9.62E-05,0.013658761,0.072671694,0.089450436,0.098283572,0.107652312,0.126835154,20145.89871,0.999932028
beta[12],0.099429058,0.000105711,0.014231321,0.072645997,0.089671312,0.098986243,0.108761394,0.128386824,18123.97654,0.999974505
beta[13],0.068374124,6.52E-05,0.010156754,0.049635373,0.061361788,0.068037043,0.074971383,0.08905701,24295.60865,0.999873343
beta[14],0.142459039,0.000218883,0.036530482,0.075853648,0.117538751,0.140741731,0.165384254,0.219531383,27853.8796,0.999759031
beta[15],0.160580098,0.000159887,0.021917233,0.119785722,0.145023779,0.159769747,0.174991237,0.205258807,18790.68153,1.000089117
beta[16],0.153931304,0.000145396,0.021203599,0.114359879,0.139021699,0.153423568,0.16777558,0.197195151,21267.42795,0.99987562
beta[17],0.192312671,0.000196067,0.026404954,0.14327043,0.174151025,0.191177075,0.209530056,0.246840003,18136.75674,0.999997651
beta[18],0.075005129,8.28E-05,0.012052429,0.052749693,0.06661484,0.074582148,0.083034897,0.099481732,21204.35582,0.999984113
beta[19],0.119305736,0.00010714,0.015418317,0.090285048,0.108756424,0.118991677,0.129192333,0.150945787,20709.47686,0.999829583
beta[20],0.107152199,0.000104532,0.014538539,0.079659809,0.09722358,0.106884589,0.116724582,0.136506126,19344.03272,1.000089881
beta[1],0.134788918,0.000130172,0.020573209,0.097853444,0.120304814,0.133633498,0.148093246,0.178560945,24978.49932,0.999801039
beta[2],0.097288668,8.02E-05,0.013047534,0.072864708,0.088405252,0.096910141,0.105901991,0.123868631,26494.00336,0.999778967
beta[3],0.162519538,0.000188244,0.025216238,0.116383972,0.144813574,0.161349652,0.178909869,0.215009487,17943.95461,1.000188253
beta[4],0.094965722,9.11E-05,0.013425638,0.069595881,0.085767976,0.094665838,0.103754199,0.122434111,21714.88692,0.999811994
beta[5],0.174951598,0.000188001,0.025990374,0.127758136,0.156711404,0.173735838,0.191452793,0.229724026,19111.89353,1.000408309
beta[6],0.163768893,0.000169657,0.02402667,0.119969541,0.146861203,0.162828806,0.178936711,0.214214205,20055.87293,0.999876516
beta[7],0.279493734,0.000391854,0.054880411,0.183378306,0.240437876,0.275960735,0.313826534,0.397926084,19614.85392,0.999781332
beta[8],0.128881311,0.000132556,0.019266857,0.093373449,0.115698992,0.12801144,0.141502468,0.168961733,21126.2078,0.999891402
beta[9],0.13687444,0.000160586,0.027405395,0.08523026,0.118167464,0.136098762,0.155006182,0.193184377,29124.27819,0.999988759
beta[10],0.164508527,0.000175933,0.027203348,0.115115399,0.145319508,0.163309867,0.18202659,0.221464965,23908.36679,0.999896403
beta[11],0.174354203,0.000178816,0.022952432,0.13183677,0.158423646,0.173882093,0.189630757,0.220969466,16475.69719,1.000010156
beta[12],0.19142748,0.000216396,0.028227688,0.139231724,0.172056616,0.190317786,0.20969329,0.249847872,17015.73442,0.99994597
beta[13],0.159519741,0.000190211,0.02610714,0.111719211,0.141223257,0.158301202,0.176278989,0.213148715,18838.51645,1.000014157
beta[14],0.166693761,0.000176567,0.027154137,0.116549875,0.147884351,0.165683131,0.184627796,0.22330199,23651.23021,0.999820877
beta[15],0.107591949,8.74E-05,0.013921551,0.081477257,0.097922854,0.107187591,0.116753608,0.136344173,25391.46047,0.999831758
beta[16],0.19274854,0.000195626,0.028327341,0.141215528,0.173364465,0.191181622,0.210754492,0.253263407,20968.14122,1.000128655
beta[17],0.143718368,0.000136745,0.017515875,0.111148142,0.131769271,0.143133003,0.15512763,0.179037919,16407.49194,1.000058185
beta[18],0.119654644,0.000105963,0.016192765,0.089226397,0.108604969,0.11919922,0.130236918,0.152639192,23352.48528,0.999821589
beta[19],0.157424725,0.000148961,0.021821556,0.11803234,0.142313719,0.156187176,0.171253726,0.203546049,21459.75804,0.999857577
beta[20],0.126397902,0.000137153,0.019049712,0.090641042,0.113383176,0.125643682,0.138903611,0.165456687,19291.61825,0.999988196
phi[1],0.169004597,0.000485887,0.059228168,0.056799431,0.128203913,0.168060856,0.208860375,0.28782672,14858.86319,0.999986271
phi[2],0.194659303,0.000629221,0.070430419,0.059000302,0.14565839,0.19385109,0.241996511,0.334077019,12528.92503,1.000261192
phi[3],0.248251853,0.000585588,0.067541937,0.120823283,0.202087348,0.246125258,0.292338487,0.385125995,13303.40139,0.999854498
phi[4],0.083774261,0.000439416,0.047857377,0.007097572,0.047059889,0.079607718,0.115614211,0.187569911,11861.6976,1.000000492
phi[5],0.054263129,0.000286052,0.034197093,0.003490664,0.0272161,0.050240408,0.07638828,0.130860068,14291.85304,0.999846028
phi[6],0.11507555,0.000554339,0.056796323,0.013621216,0.073847917,0.112418522,0.153385956,0.230993677,10497.57137,0.99983725
phi[7],0.146980184,0.000564635,0.061406024,0.031543276,0.103921435,0.145034735,0.188464136,0.271250643,11827.32949,1.000092675
phi[8],0.062959765,0.00030197,0.034792914,0.005245816,0.036795675,0.060502955,0.085985375,0.137178527,13275.58055,0.999846842
phi[9],0.325471292,0.000553388,0.070405023,0.191875356,0.277528404,0.322993672,0.370621482,0.469699767,16186.33052,0.999981042
phi[10],0.069937999,0.000395605,0.04227359,0.004777405,0.036941465,0.065967035,0.096975603,0.162082791,11418.6505,1.000090631
phi[1],0.188636769,0.000625847,0.070862269,0.052365621,0.13967591,0.187212833,0.235449837,0.33345358,12820.17981,0.999849493
phi[2],0.129677278,0.00054269,0.059938463,0.022773431,0.085824689,0.127315796,0.169908529,0.252902026,12198.53417,1.000077844
phi[3],0.301157808,0.000733881,0.08425666,0.136925659,0.244473156,0.300617731,0.357281593,0.470491707,13181.26072,1.00001094
phi[4],0.215600491,0.000645742,0.07347034,0.074886451,0.165103929,0.21391837,0.264693586,0.365021717,12945.13312,1.000530808
phi[5],0.464279706,0.000826414,0.096699174,0.281088327,0.398011793,0.463318926,0.528886421,0.659882724,13691.47804,1.000185481
phi[6],0.035111434,0.000218018,0.029450053,0.001272541,0.012323018,0.02751652,0.050202446,0.109369649,18246.78175,0.999922524
phi[7],0.032476209,0.000213407,0.025055354,0.00124467,0.012624668,0.02713016,0.046918332,0.092447212,13784.33257,0.999971928
phi[8],0.017645967,0.000111373,0.016020531,0.000466653,0.005602104,0.013053372,0.025017063,0.059149571,20691.73992,0.999905221
phi[9],0.146667856,0.000541635,0.060295696,0.032560091,0.104497903,0.14520993,0.187900355,0.268238575,12392.51506,1.00007285
phi[10],0.036732155,0.000203547,0.027500457,0.001439391,0.014867067,0.031202987,0.052853306,0.101839107,18253.71624,1.000051384
phi[11],0.306613856,0.000665988,0.076932017,0.160058405,0.254391793,0.30608465,0.357807763,0.462089213,13343.85059,1.000164641
phi[12],0.167868767,0.000466706,0.056126843,0.057971983,0.12989622,0.167456802,0.20570869,0.280247858,14462.87376,0.999938048
phi[13],0.070572776,0.000408838,0.046102105,0.004333168,0.033748025,0.064347372,0.100742173,0.174993366,12715.68355,1.000339151
phi[14],0.013773671,9.71E-05,0.012899459,0.000395897,0.004215923,0.00990834,0.019440852,0.048063544,17661.26157,0.999998779
phi[15],0.107972334,0.000428414,0.046894721,0.019976299,0.074706741,0.107058792,0.140337637,0.20298095,11981.77864,1.000348039
phi[16],0.191115866,0.000613079,0.064795541,0.065614822,0.146590744,0.190082092,0.235021512,0.320612924,11170.09171,0.999788355
phi[17],0.309510658,0.000612501,0.075012488,0.166728213,0.258416115,0.308124803,0.359858457,0.459254191,14998.70185,0.999947156
phi[18],0.169035479,0.000508823,0.059620961,0.055098362,0.12732136,0.167920155,0.208922333,0.28823592,13729.80458,0.999813141
phi[19],0.404382275,0.000699438,0.086771454,0.23802697,0.34544576,0.402178932,0.461285598,0.58126841,15390.59628,0.999981439
phi[20],0.274038001,0.000698445,0.075130454,0.12606433,0.223570689,0.27402179,0.323813527,0.421820288,11570.92855,1.000335484
phi[1],0.040545154,0.000247231,0.030048639,0.001573492,0.016905479,0.034698737,0.058239542,0.111864105,14772.17246,0.999875965
phi[2],0.016550062,9.92E-05,0.014945916,0.000513535,0.005148002,0.012256883,0.023710755,0.05491727,22719.69203,0.999937951
phi[3],0.141329434,0.00053289,0.060324579,0.029750348,0.098503693,0.139680496,0.182131059,0.263789213,12814.84855,1.000528041
phi[4],0.182851887,0.000617571,0.06769171,0.053828426,0.136245293,0.181355292,0.228841984,0.31747697,12014.25039,0.99991491
phi[5],0.102706706,0.000430992,0.047059839,0.015262477,0.069368517,0.101360341,0.134207671,0.198936796,11922.33953,1.000413962
phi[6],0.084497855,0.000422312,0.045498564,0.008238653,0.050034591,0.081822904,0.114798811,0.180245111,11607.20801,0.999963056
phi[7],0.167355889,0.000605671,0.068750508,0.038192663,0.120005793,0.16571606,0.212018205,0.308411773,12884.83804,0.999944462
phi[8],0.040512938,0.000230569,0.028544986,0.001895887,0.017625296,0.035495232,0.058050438,0.107240294,15326.97785,0.999881048
phi[9],0.017722841,0.000131687,0.016428423,0.000542172,0.00563616,0.012827885,0.024995808,0.06048543,15563.33812,0.999955378
phi[10],0.065195264,0.000370458,0.040951797,0.003939541,0.033020243,0.060843522,0.091649121,0.155781371,12219.90914,1.000221239
phi[11],0.427992016,0.000737325,0.085013055,0.264214046,0.369219527,0.427373503,0.485185756,0.595486024,13293.91659,1.000124156
phi[12],0.153353904,0.000531637,0.057486926,0.042486612,0.113965447,0.152110413,0.192091994,0.270297371,11692.49943,1.000008199
phi[13],0.306481276,0.000664464,0.075063429,0.162729187,0.254603593,0.305060583,0.356095529,0.456117318,12761.84787,1.000139919
phi[14],0.023923833,0.000144208,0.019873891,0.000763168,0.008258629,0.018896803,0.034698046,0.073296745,18992.66917,0.999887418
phi[15],0.031582624,0.00019188,0.025554972,0.001103759,0.011472852,0.025610486,0.045445937,0.095113571,17737.44888,1.000046378
phi[16],0.069983874,0.000360081,0.042204427,0.005026242,0.037100063,0.065664849,0.097953326,0.16319294,13737.78117,1.000149279
phi[17],0.547136656,0.000717481,0.089789668,0.378435127,0.484825549,0.545778971,0.605986055,0.727210849,15661.46488,1.000020523
phi[18],0.02400374,0.000137727,0.020748873,0.00072213,0.007902383,0.018718466,0.034443659,0.076922277,22695.98696,0.99984014
phi[19],0.044992463,0.000251524,0.030138386,0.00243602,0.021064199,0.040618574,0.064017392,0.113746713,14357.61733,0.999995759
phi[20],0.137519808,0.000536447,0.056701166,0.031012555,0.097785444,0.135687497,0.175648064,0.251558047,11171.96884,1.000070539
persev[1],0.389121506,0.001768876,0.215712655,0.036149929,0.224214657,0.374210766,0.533904414,0.84892914,14871.55053,0.999886024
persev[2],1.828339064,0.002581523,0.298865026,1.258666761,1.622995649,1.82090789,2.029409022,2.42793676,13402.8818,1.000369535
persev[3],1.444956537,0.002930829,0.395565915,0.685938643,1.173782381,1.444723095,1.706815233,2.230740028,18216.15874,0.999859604
persev[4],0.222686416,0.001270927,0.16431274,0.009547484,0.090536545,0.191203051,0.320721151,0.612192485,16714.79941,0.999843132
persev[5],0.20024051,0.001103658,0.158011189,0.007199932,0.074161595,0.165150937,0.289449679,0.588155306,20497.77528,0.999915236
persev[6],1.274845972,0.002311475,0.281735945,0.74210281,1.077883745,1.266388675,1.463542874,1.849601266,14856.14198,0.999827037
persev[7],0.661811983,0.002220619,0.265231447,0.161982246,0.477184471,0.655394457,0.839407445,1.196055085,14265.98439,1.000033084
persev[8],0.772794847,0.00319673,0.39004775,0.092953994,0.483500556,0.750871829,1.032931237,1.58415253,14887.5618,0.99994525
persev[9],0.169408146,0.000947906,0.145591514,0.004772141,0.057156175,0.132224871,0.242285452,0.542297194,23590.75355,1.000141338
persev[10],0.10938312,0.000631961,0.097313953,0.003028782,0.034868797,0.082371753,0.156284203,0.362671693,23712.06705,0.999869887
persev[1],0.259342741,0.00131012,0.190633404,0.01095919,0.107519424,0.223256063,0.372715033,0.709231027,21172.6726,0.999822082
persev[2],0.683183892,0.002743694,0.313489652,0.099225072,0.457057103,0.674856386,0.898659589,1.321763966,13054.94878,0.99997112
persev[3],1.102019974,0.002272085,0.296993216,0.526253001,0.898558133,1.099519196,1.299176083,1.692840416,17086.13043,0.999884677
persev[4],0.418719872,0.001879652,0.235542092,0.035685896,0.239933196,0.399490182,0.573100983,0.922236424,15702.9833,1.000070244
persev[5],1.096185756,0.002430433,0.313696834,0.490224987,0.886853747,1.092832489,1.301706084,1.723310438,16659.15256,1.000032909
persev[6],0.616321164,0.001908381,0.246721179,0.147329133,0.444439388,0.612643219,0.781886068,1.115105602,16714.08717,1.000129823
persev[7],2.633643281,0.002654474,0.40780888,1.908736013,2.348313018,2.613904029,2.889762563,3.501452809,23602.41607,0.99978728
persev[8],1.499536412,0.001089062,0.182743579,1.148868731,1.377033563,1.496429856,1.618917356,1.867212239,28156.53814,0.99983211
